display_id,webpage_url,fulltitle,uploader,upload_date,duration_string,view_count,like_count,description,archived_at
-1QlPvbzpX4,https://www.youtube.com/watch?v=-1QlPvbzpX4,アラカクライブ熱すぎるぜ！！,アラカク通信,20250501,1:06,1234,32,"ファイヤーサンダー崎山

ファイヤーサンダーofficial YouTube channel


☆アラカク通信のーと
https://note.com/xyz1090

☆アラカク通信2
https://stand.fm/channels/67fd41ba87fe90ae17cea224

☆クロコップ荒木
https://x.com/crocoparaki?s=21


#アラカク #あらかく#格闘技 #架空 #クロコップ",2026-05-28T20:11:42
-7rixgVx9nA,https://www.youtube.com/watch?v=-7rixgVx9nA,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　さかえだvsミハエル・ボタルニカ,アラカク通信,20220911,20:38,85,3,"🥊第5回MAXバウトミドル級ＧＰ
1回戦Bグループ

☆第二試合
①さかえだ
②日本ミドル級ストライキングのエース
③ 32歳 ④180cm ⑤日本MMAチーム
⑥【16勝7敗】⑦エンペラー⑧4回目
⑨なし
⑩かべい
🆚
①ミハエル・ボタルニカ
②復活のダークヒーローミドル編
③35歳④188cm⑤レ・ジェンド
⑥【4勝2敗】⑦ターゲット⑧1回目
⑨元ネオマーキーズヘビー級王者
⑩ミサ・ウィル・ジョー


🚨①名前②キャッチコピー
③年齢④身長⑤所属ジム
⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数
⑨タイトル⑩戦いたい相手


#格闘技
#アラカク
#家格",2026-05-28T20:11:42
-S8_61fZRU0,https://www.youtube.com/watch?v=-S8_61fZRU0,Full Fight！ダイス・ヴォルケードvsダートソン エンペラーNo.114 ミドル級ワンマッチ,アラカク通信,20240131,5:39,115,1,"エンペラーNo.114


☆ミドル級ワンマッチ
🟥ダイス・ヴォルケード
33歳 190cm ＫＢMトップチーム
【4勝2敗】
🆚
🟦ダートソン
24歳 182cm チーム・ボイス
【1勝2敗】


#アラカク 
#あらかく
#格闘技
 #架空 
#クロコップ
#mma",2026-05-28T20:11:42
-f_LGAzQr_k,https://www.youtube.com/watch?v=-f_LGAzQr_k,Full Fight！クレイエル・アビソカvsさくらい　エンペラーNo.113 ライト級ワンマッチ,アラカク通信,20230612,4:47,33,1,"エンペラーNo.113

☆ライト級ワンマッチ
🟥さくらい
35歳 180cm VKデリンジャー
【8勝7敗】
🆚
🟦クレイエル・アビソカ
26歳 174cm テスジム
【メジャーデビュー戦】


#アラカク 
#ARAKAKU 
#格闘技
 #架空 
#クロコップ",2026-05-28T20:11:42
-nM0IG9MDPI,https://www.youtube.com/watch?v=-nM0IG9MDPI,【ゼットvsらんちゃーすがや】マウンテン・ヒーローズNo.38ミドル級王座決定戦（クロコップ荒木の実況付きFull Fight！！）,アラカク通信,20251214,13:33,61,2,"マウンテン・ヒーローズNo.38

☆M・Hミドル級タイトルマッチ
🟥ゼット35歳 188cm RFチームクリスタル【12勝6敗】
🆚
🟦らんちゃーすがや30歳 185cm コミックファイト倶楽部【7勝2敗】

#アラカク #あらかく #格闘技 #架空 #クロコップ #mma",2026-05-28T20:11:42
-xXhhyFB8KQ,https://www.youtube.com/watch?v=-xXhhyFB8KQ,Full Fight！第６回 MAXバウトライト級トーナメント準決勝第ニ試合　わくvsコルト・アプロー,アラカク通信,20220304,4:40,44,2,"Full Fight！第６回 MAXバウトライト級トーナメント準決勝第ニ試合
⬇️選手情報です⬇️

🚨①名前②キャッチコピー
③年齢④身長⑤所属ジム
⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数
⑨タイトル


①わく  ②［五つ星カウンター］
③24歳 ④177cm ⑤日本MMAチーム　　　　　
⑥【6勝0敗】⑦ターゲット　⑧1回目　　　　
⑨元ネオマーキーズライト級王者
🆚
①コルト・アプロー ②［マジックバイパー］
③36歳 ④175cm ⑤マジシャンズA
⑥【16勝10敗】⑦エンペラー ⑧4回目
⑨元エンペラーライト級王者




【荒木の架空の格闘技=ARAKAKU】

ARAKAKUが始まります。

ARAKAKUとは何かをこのYouTubeチャンネルで知ってもらえたら嬉しいです🥊

ARAKAKU note
https://note.com/xyz1090

ARAKAKU Twitter
https://mobile.twitter.com/ARAKAKU1



ケイダッシュステージ所属の芸人でもあります。
【クロコップ】
にんじゃりばんばん⬇️
https://youtu.be/IY1WaJ22vP0
空手家の子⬇️
https://youtu.be/RSdWBnQvynU

クロコップ荒木Twitter
https://mobile.twitter.com/@crocoparaki

#アラカク
#架空
#白グローブ",2026-05-28T20:11:42
-z5LiALVefc,https://www.youtube.com/watch?v=-z5LiALVefc,Full Fight！第６回 MAXバウトライト級トーナメント準決勝第一試合　ランダーデビルvsブルーワン（表記ミス→ランダーデビル34勝じゃなく24勝）,アラカク通信,20220304,20:46,43,1,"Full Fight！第６回 MAXバウトライト級トーナメント準決勝第一試合
⬇️選手情報です⬇️

🚨①名前②キャッチコピー
③年齢④身長⑤所属ジム
⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数
⑨タイトル


①ランダーデビル  ②［デビル軍の絶対的エース］
③33歳 ④174cm ⑤デビル軍
⑥【24勝4敗】⑦M・H ⑧4回目
⑨現M・Hライト級王者、第5回MAXバウトライト級トーナメント優勝
🆚
①ブルーワン ②［最恐ビッグウェーブ］
③25歳 ④178cm ⑤ブルーワンジム
⑥【13勝4敗】⑦エンペラー ⑧3回目
⑨元エンペラーライト級王者




【荒木の架空の格闘技=ARAKAKU】

ARAKAKUが始まります。

ARAKAKUとは何かをこのYouTubeチャンネルで知ってもらえたら嬉しいです🥊

ARAKAKU note
https://note.com/xyz1090

ARAKAKU Twitter
https://mobile.twitter.com/ARAKAKU1



ケイダッシュステージ所属の芸人でもあります。
【クロコップ】
にんじゃりばんばん⬇️
https://youtu.be/IY1WaJ22vP0
空手家の子⬇️
https://youtu.be/RSdWBnQvynU

クロコップ荒木Twitter
https://mobile.twitter.com/@crocoparaki

#アラカク
#架空
#白グローブ",2026-05-28T20:11:42
0f7cI7MO380,https://www.youtube.com/watch?v=0f7cI7MO380,Full Fight！【煽り付き】エリートスピリッツミドル級GP一回戦Bブロック　ジャニマード・トスパチvsこだま,アラカク通信,20250618,14:15,116,7,"【アラカクの説明なし試合だけのライブNo.3】

【日程】2025年7月26日（土）
【会場】新宿バティオス
【開場】18時45分
【開演】19時00分
【料金】前売り予約1500円／当日2000円

🟨エリートスピリッツミドル級GP 準決勝・決勝をライブで観戦❗️
予約購入はこちら ⬇️
tiget.net/events/408059 #tiget @tigetnetより


アラカクを詳しく知りたい方はこちらを是非✨
⬇️
クロコップ荒木が考える架空の格闘技『アラカク』が深すぎるから全部聞いた！【構想27年】
youtu.be/VDwwo72yU9s?si…


🟨エリートスピリッツミドル級GP （92kg）
☆B第二試合
🟥ジャニマード・トスパチ
27歳 190cm チームボークン
【7勝1敗】アルバトロス
🆚
🟦こだま
24歳 187cm チームジャパン
【8勝0敗】
現Ｂ1ミドル級王者


#アラカク
#あらかく
#格闘技
#架空
#クロコップ
#mma",2026-05-28T20:11:42
0nT8UfRwIMc,https://www.youtube.com/watch?v=0nT8UfRwIMc,【クロコップ荒木の実況付き】Full Fight！かぶとvsイベルト・キューミ　ターゲットNo.101 ライト級ワンマッチ,アラカク通信,20251001,15:55,41,,"クロコップ荒木が実況しました！（副音声）

ターゲットNo.101
☆ライト級ワンマッチ
🟥かぶと
37歳 163cm ターゲットPJ
【11勝12敗】
🆚
🟦イベルト・キューミ32歳 180cm チームカーリン【2勝4敗】


【告知】
まによんpresents
『アラカクライブNo.16【秋の陣】』
【日程】2025年10月25日（土）
【会場】新宿バティオス
【開場】18時45分
【開演】19時00分
【料金】前売り予約2000円／当日2500円
ご予約↓
tiget.net/events/429764 #TIGET

【アラカク知らない人へ】

①アラカクなに？って方へ！
これが一番わかりやすいです⬇️
バキ童チャンネル（アラカクの説明）
https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0

＊アラカクのチャンネル【アラカク通信】はバキ童チャンネル見た後の方がおすすめです🙇‍♂️


②アラカク説明ありのライブ！
最初の1時間アラカクの説明してます！！ 
お笑いライブとしても最高です✨ 
 
アラカクライブNo.13
https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A 

アラカクライブNo.14
https://youtu.be/yN9h0C5MDHM?si=LV0FvalW9NmZZ8iB 

アラカクライブNo.15
https://youtu.be/bRsV2jPffak?si=b-Z4btMU_Xu2BMrl


#アラカク 
#あらかく 
#格闘技 
#架空 
#クロコップ 
#mma",2026-05-28T20:11:42
0vt0J0l9JjA,https://www.youtube.com/watch?v=0vt0J0l9JjA,【アリベル・アリベラvsわしかが】Full Fight！ターゲットNo.103ミドル級ワンマッチ,アラカク通信,20260427,4:53,50,1,"【アラカク知らない人へ】
アラカクなに？って方へ！おすすめです！

①バキ童チャンネル
https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0

② ニューヨークOfficial Channel
https://youtu.be/4cccIjMPRHU?si=AiaANVELch62r9-v

③アラカク説明ありのライブ！
最初の1時間アラカクの説明してます！！ 
お笑いライブとしても最高です✨ 
 
アラカクライブNo.13
https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A 

アラカクライブNo.14
https://youtu.be/yN9h0C5MDHM?si=LV0FvalW9NmZZ8iB 

アラカクライブNo.15
https://youtu.be/bRsV2jPffak?si=b-Z4btMU_Xu2BMrl",2026-05-28T20:11:42
