link_id,article_id,entity_type,entity_id,relation_type,notes
article-note-emperor-promotion-emperor-source,note-emperor,promotion,emperor,source,
article-note-max-bout-promotion-max_bout-source,note-max-bout,promotion,max_bout,source,
article-note-mh-promotion-mh-source,note-mh,promotion,mh,source,
article-note-target-promotion-target-source,note-target,promotion,target,source,
article-note-emperor-title_reign-emperor-heavyweight-1-source,note-emperor,title_reign,emperor-heavyweight-1,source,
article-note-emperor-title_reign-emperor-heavyweight-2-source,note-emperor,title_reign,emperor-heavyweight-2,source,
article-note-emperor-title_reign-emperor-lightweight-1-source,note-emperor,title_reign,emperor-lightweight-1,source,
article-note-emperor-title_reign-emperor-lightweight-2-source,note-emperor,title_reign,emperor-lightweight-2,source,
article-note-emperor-title_reign-emperor-lightweight-3-source,note-emperor,title_reign,emperor-lightweight-3,source,
article-note-emperor-title_reign-emperor-lightweight-4-source,note-emperor,title_reign,emperor-lightweight-4,source,
article-note-emperor-title_reign-emperor-lightweight-5-source,note-emperor,title_reign,emperor-lightweight-5,source,
article-note-emperor-title_reign-emperor-lightweight-6-source,note-emperor,title_reign,emperor-lightweight-6,source,
article-note-emperor-title_reign-emperor-lightweight-7-source,note-emperor,title_reign,emperor-lightweight-7,source,
article-note-emperor-title_reign-emperor-lightweight-8-source,note-emperor,title_reign,emperor-lightweight-8,source,
article-note-emperor-title_reign-emperor-lightweight-9-source,note-emperor,title_reign,emperor-lightweight-9,source,
article-note-emperor-title_reign-emperor-middleweight-1-source,note-emperor,title_reign,emperor-middleweight-1,source,
article-note-emperor-title_reign-emperor-middleweight-2-source,note-emperor,title_reign,emperor-middleweight-2,source,
article-note-emperor-title_reign-emperor-middleweight-3-source,note-emperor,title_reign,emperor-middleweight-3,source,
article-note-max-bout-title_reign-max-bout-heavyweight-1-source,note-max-bout,title_reign,max-bout-heavyweight-1,source,
article-note-max-bout-title_reign-max-bout-heavyweight-2-source,note-max-bout,title_reign,max-bout-heavyweight-2,source,
article-note-max-bout-title_reign-max-bout-lightweight-1-source,note-max-bout,title_reign,max-bout-lightweight-1,source,
article-note-max-bout-title_reign-max-bout-lightweight-2-source,note-max-bout,title_reign,max-bout-lightweight-2,source,
article-note-max-bout-title_reign-max-bout-lightweight-3-source,note-max-bout,title_reign,max-bout-lightweight-3,source,
article-note-max-bout-title_reign-max-bout-lightweight-4-source,note-max-bout,title_reign,max-bout-lightweight-4,source,
article-note-max-bout-title_reign-max-bout-lightweight-5-source,note-max-bout,title_reign,max-bout-lightweight-5,source,
article-note-max-bout-title_reign-max-bout-lightweight-6-source,note-max-bout,title_reign,max-bout-lightweight-6,source,
article-note-max-bout-title_reign-max-bout-lightweight-7-source,note-max-bout,title_reign,max-bout-lightweight-7,source,
article-note-max-bout-title_reign-max-bout-middleweight-1-source,note-max-bout,title_reign,max-bout-middleweight-1,source,
article-note-max-bout-title_reign-max-bout-middleweight-2-source,note-max-bout,title_reign,max-bout-middleweight-2,source,
article-note-max-bout-title_reign-max-bout-middleweight-3-source,note-max-bout,title_reign,max-bout-middleweight-3,source,
article-note-max-bout-title_reign-max-bout-middleweight-4-source,note-max-bout,title_reign,max-bout-middleweight-4,source,
article-note-max-bout-title_reign-max-bout-middleweight-5-source,note-max-bout,title_reign,max-bout-middleweight-5,source,
article-note-mh-title_reign-mh-lightweight-1-source,note-mh,title_reign,mh-lightweight-1,source,
article-note-mh-title_reign-mh-lightweight-2-source,note-mh,title_reign,mh-lightweight-2,source,
article-note-mh-title_reign-mh-lightweight-3-source,note-mh,title_reign,mh-lightweight-3,source,
article-note-mh-title_reign-mh-lightweight-tournament-1-source,note-mh,title_reign,mh-lightweight-tournament-1,source,
article-note-mh-title_reign-mh-middleweight-tournament-1-source,note-mh,title_reign,mh-middleweight-tournament-1,source,
article-note-mh-title_reign-mh-middleweight-tournament-2-source,note-mh,title_reign,mh-middleweight-tournament-2,source,
article-note-target-title_reign-target-heavyweight-1-source,note-target,title_reign,target-heavyweight-1,source,
article-note-target-title_reign-target-heavyweight-2-source,note-target,title_reign,target-heavyweight-2,source,
article-note-target-title_reign-target-heavyweight-tournament-1-source,note-target,title_reign,target-heavyweight-tournament-1,source,
article-note-target-title_reign-target-heavyweight-tournament-2-source,note-target,title_reign,target-heavyweight-tournament-2,source,
article-note-target-title_reign-target-lightweight-1-source,note-target,title_reign,target-lightweight-1,source,
article-note-target-title_reign-target-lightweight-2-source,note-target,title_reign,target-lightweight-2,source,
article-note-target-title_reign-target-lightweight-3-source,note-target,title_reign,target-lightweight-3,source,
article-note-target-title_reign-target-lightweight-4-source,note-target,title_reign,target-lightweight-4,source,
article-note-target-title_reign-target-lightweight-5-source,note-target,title_reign,target-lightweight-5,source,
article-note-target-title_reign-target-lightweight-6-source,note-target,title_reign,target-lightweight-6,source,
article-note-target-title_reign-target-lightweight-7-source,note-target,title_reign,target-lightweight-7,source,
article-note-target-title_reign-target-lightweight-8-source,note-target,title_reign,target-lightweight-8,source,
article-note-target-title_reign-target-lightweight-tournament-1-source,note-target,title_reign,target-lightweight-tournament-1,source,
article-note-target-title_reign-target-lightweight-tournament-2-source,note-target,title_reign,target-lightweight-tournament-2,source,
article-note-target-title_reign-target-lightweight-tournament-3-source,note-target,title_reign,target-lightweight-tournament-3,source,
article-note-target-title_reign-target-middleweight-1-source,note-target,title_reign,target-middleweight-1,source,
article-note-target-title_reign-target-middleweight-2-source,note-target,title_reign,target-middleweight-2,source,
article-note-target-title_reign-target-middleweight-3-source,note-target,title_reign,target-middleweight-3,source,
article-note-target-title_reign-target-middleweight-4-source,note-target,title_reign,target-middleweight-4,source,
article-note-target-title_reign-target-middleweight-5-source,note-target,title_reign,target-middleweight-5,source,
article-note-target-title_reign-target-middleweight-6-source,note-target,title_reign,target-middleweight-6,source,
article-note-target-title_reign-target-middleweight-7-source,note-target,title_reign,target-middleweight-7,source,
article-note-target-title_reign-target-middleweight-tournament-1-source,note-target,title_reign,target-middleweight-tournament-1,source,
article-note-target-title_reign-target-middleweight-tournament-2-source,note-target,title_reign,target-middleweight-tournament-2,source,
article-note-target-title_reign-target-middleweight-tournament-3-source,note-target,title_reign,target-middleweight-tournament-3,source,
article-note-target-title_reign-target-middleweight-tournament-4-source,note-target,title_reign,target-middleweight-tournament-4,source,
article-note-target-title_reign-target-middleweight-tournament-5-source,note-target,title_reign,target-middleweight-tournament-5,source,
article-note-target-103-card-fighter_snapshot-waku-target-103-card-source,note-target-103-card,fighter_snapshot,waku-target-103-card,source,
article-note-target-103-card-fighter_snapshot-tsukurihara-target-103-card-source,note-target-103-card,fighter_snapshot,tsukurihara-target-103-card,source,
article-note-target-103-card-fighter_snapshot-otosawa-target-103-card-source,note-target-103-card,fighter_snapshot,otosawa-target-103-card,source,
article-note-target-103-card-fighter_snapshot-aurora-devil-target-103-card-source,note-target-103-card,fighter_snapshot,aurora-devil-target-103-card,source,
article-note-target-103-card-fighter_snapshot-kintoki-target-103-card-source,note-target-103-card,fighter_snapshot,kintoki-target-103-card,source,
article-note-target-103-card-fighter_snapshot-zamon-target-103-card-source,note-target-103-card,fighter_snapshot,zamon-target-103-card,source,
article-note-target-103-card-fighter_snapshot-kabei-target-103-card-source,note-target-103-card,fighter_snapshot,kabei-target-103-card,source,
article-note-target-103-card-fighter_snapshot-frank-dakuta-target-103-card-source,note-target-103-card,fighter_snapshot,frank-dakuta-target-103-card,source,
article-note-target-103-card-fighter_snapshot-aribel-aribera-target-103-card-source,note-target-103-card,fighter_snapshot,aribel-aribera-target-103-card,source,
article-note-target-103-card-fighter_snapshot-washikaga-target-103-card-source,note-target-103-card,fighter_snapshot,washikaga-target-103-card,source,
article-note-n001f39a5fefb-event-mh-33-source,note-n001f39a5fefb,event,mh-33,source,
article-note-n001f39a5fefb-fighter-fighter_d9983ebeb3-source,note-n001f39a5fefb,fighter,fighter_d9983ebeb3,source,
article-note-n001f39a5fefb-fighter-rancher_sugaya-source,note-n001f39a5fefb,fighter,rancher_sugaya,source,
article-note-n001f39a5fefb-bout-mh-33-ibmvbvxf1h8-source,note-n001f39a5fefb,bout,mh-33-ibmvbvxf1h8,source,
article-note-n001f39a5fefb-fighter-fighter_25fddbaacc-source,note-n001f39a5fefb,fighter,fighter_25fddbaacc,source,
