article_id,title,url,source_type,article_type,promotion_id,published_at,last_checked_at,status,notes
note-target,ターゲット,https://note.com/xyz1090/n/n958613cec8a5,official_note,promotion_profile,target,2025-04-28,2026-05-15,parsed,団体設定・ルール・歴代王者
note-target-103-card,ターゲットNo.103対戦カード,https://note.com/xyz1090/n/n9782736d400d,official_note,event_card,target,2026-04-09,2026-05-15,parsed,ターゲットNo.103の対戦カードと選手プロフィール
note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,official_note,event_result,target,2026-05-02,2026-05-15,parsed,ターゲットNo.103の試合結果
note-emperor,エンペラー,https://note.com/xyz1090/n/n2beedca0a28d,official_note,promotion_profile,emperor,2025-04-29,2026-05-16,parsed,団体設定・ルール・歴代王者
note-mh,マウンテン・ヒーローズ（M・H）,https://note.com/xyz1090/n/n0f42ce1bf597,official_note,promotion_profile,mh,2025-04-29,2026-05-16,parsed,団体設定・ルール・歴代王者
note-max-bout,MAXバウト,https://note.com/xyz1090/n/n4f9af5458b40,official_note,promotion_profile,max_bout,2025-04-29,2026-05-16,parsed,ルール・歴代王者
note-xyz1090,YouTube概要欄掲載note: アラカクライブ熱すぎるぜ！！,https://note.com/xyz1090,official_note,youtube_description_source,,,,unparsed,Found in YouTube description: -1QlPvbzpX4
note-nc257025df66a,マウンテン・ヒーローズNo.40試合結果,https://note.com/xyz1090/n/nc257025df66a,official_note,event_result,mh,2026-05-02,,unparsed,Crawled from note RSS.
note-n28dec20d5260,マウンテン・ヒーローズNo.40対戦カード,https://note.com/xyz1090/n/n28dec20d5260,official_note,event_card,mh,2026-04-30,,unparsed,Crawled from note RSS.
note-nff26f83e58f5,マウンテン・ヒーローズNo.39試合結果,https://note.com/xyz1090/n/nff26f83e58f5,official_note,event_result,mh,2026-03-09,,unparsed,Crawled from note RSS.
note-n4523b9139a53,エンペラーNo.120試合結果,https://note.com/xyz1090/n/n4523b9139a53,official_note,event_result,emperor,2026-03-09,,unparsed,Crawled from note RSS.
note-n28b5489ba3da,マウンテン・ヒーローズNo.39対戦カード,https://note.com/xyz1090/n/n28b5489ba3da,official_note,event_card,mh,2026-02-12,,unparsed,Crawled from note RSS.
note-n331fef154e1f,エンペラーNo.120対戦カード,https://note.com/xyz1090/n/n331fef154e1f,official_note,event_card,emperor,2026-02-12,,unparsed,Crawled from note RSS.
note-nbc9d3618e052,ターゲットNo.102試合結果,https://note.com/xyz1090/n/nbc9d3618e052,official_note,event_result,target,2026-01-11,,unparsed,Crawled from note RSS.
note-nab8d74ad1a56,ターゲットNo.102対戦カード,https://note.com/xyz1090/n/nab8d74ad1a56,official_note,event_card,target,2026-01-03,,unparsed,Crawled from note RSS.
note-nea973af387f1,マウンテン・ヒーローズNo.38試合結果,https://note.com/xyz1090/n/nea973af387f1,official_note,event_result,mh,2025-12-10,,unparsed,Crawled from note RSS.
note-n40043569e548,マウンテン・ヒーローズNo.38対戦カード,https://note.com/xyz1090/n/n40043569e548,official_note,event_card,mh,2025-12-10,,unparsed,Crawled from note RSS.
note-n2a15808854f2,エンペラーNo.119試合結果,https://note.com/xyz1090/n/n2a15808854f2,official_note,event_result,emperor,2025-12-10,,unparsed,Crawled from note RSS.
note-n9bc919ac257d,エンペラーNo.119対戦カード,https://note.com/xyz1090/n/n9bc919ac257d,official_note,event_card,emperor,2025-12-10,,unparsed,Crawled from note RSS.
note-n6e32a2c78e47,MAXバウトスペシャルワンマッチ大会No.2試合結果,https://note.com/xyz1090/n/n6e32a2c78e47,official_note,event_result,max_bout,2025-10-29,,unparsed,Crawled from note RSS.
note-n2c83076aedb9,MAXバウトスペシャルワンマッチ大会No.2対戦カード,https://note.com/xyz1090/n/n2c83076aedb9,official_note,event_card,max_bout,2025-10-05,,unparsed,Crawled from note RSS.
note-n15885dea4393,ターゲットNo.101試合結果,https://note.com/xyz1090/n/n15885dea4393,official_note,event_result,target,2025-10-05,,unparsed,Crawled from note RSS.
note-n9bdb012eebc7,ターゲットNo.101対戦カード,https://note.com/xyz1090/n/n9bdb012eebc7,official_note,event_card,target,2025-09-19,,unparsed,Crawled from note RSS.
note-n9c825ffb7bef,マウンテン・ヒーローズNo.37試合結果,https://note.com/xyz1090/n/n9c825ffb7bef,official_note,event_result,mh,2025-08-29,,unparsed,Crawled from note RSS.
note-nf98ad24ec6fb,マウンテン・ヒーローズNo.37,https://note.com/xyz1090/n/nf98ad24ec6fb,official_note,note_article,mh,2025-08-29,,unparsed,Crawled from note RSS.
note-nced343dbb736,エンペラーNo.118試合結果,https://note.com/xyz1090/n/nced343dbb736,official_note,event_result,emperor,2025-07-30,,unparsed,Crawled from note RSS.
note-n1ef5797085bc,エンペラーNo.118対戦カード,https://note.com/xyz1090/n/n1ef5797085bc,official_note,event_card,emperor,2025-07-20,,unparsed,Crawled from note RSS.
note-nc14b0906fad4,おめでとうございます🎉㊗️🎊🎂,https://note.com/xyz1090/n/nc14b0906fad4,official_note,note_article,,2025-07-15,,unparsed,Crawled from note RSS.
note-n8a46f5d53a27,ターゲットNo.100試合結果,https://note.com/xyz1090/n/n8a46f5d53a27,official_note,event_result,target,2025-06-29,,unparsed,Crawled from note RSS.
note-n6b86d08a619d,ターゲットNo.100対戦カード,https://note.com/xyz1090/n/n6b86d08a619d,official_note,event_card,target,2025-06-17,,unparsed,Crawled from note RSS.
