bout_id,event_id,promotion_id,bout_order,division,weight_class_id,bout_type,result_status,round,time,method_raw,method_normalized,technique,decision_score,is_title_bout,title_id,title_result,title_note,notes,inferred_from_video_id,inferred_from_video_title,inferred_confidence
elite-spirits-middleweight-gp-tg_jild1vk0,elite-spirits-middleweight-gp,elite_spirits,1,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_tg_jild1vk0,フルファイト！【煽り付き】エリートスピリッツミドル級GP一回戦Bブロック　かぜのvsエス・ガリオン,high
elite-spirits-middleweight-gp-n20_g5cynje,elite-spirits-middleweight-gp,elite_spirits,2,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_n20_g5cynje,フルファイト！【煽り付き】エリートスピリッツミドル級GP一回戦Bブロック　ぎんのすけvsオーロラデビル,high
elite-spirits-middleweight-gp-ivzr3cr_yka,elite-spirits-middleweight-gp,elite_spirits,3,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_ivzr3cr_yka,フルファイト！【煽り付き】エリートスピリッツミドル級GP一回戦Bブロック　ぱいそんはやしvsアンディ・ザメス,high
elite-spirits-middleweight-gp-0f7ci7mo380,elite-spirits-middleweight-gp,elite_spirits,4,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_0f7ci7mo380,フルファイト！【煽り付き】エリートスピリッツミドル級GP一回戦Bブロック　ジャニマード・トスパチvsこだま,high
elite-spirits-middleweight-gp-youvqzjbhty,elite-spirits-middleweight-gp,elite_spirits,5,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_youvqzjbhty,フルファイト！【煽り付き】エリートスピリッツミドル級GP決勝Ｂ　オーロラデビルvsエス・ガリオン,high
elite-spirits-middleweight-gp-mtwfjz88t8q,elite-spirits-middleweight-gp,elite_spirits,6,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_mtwfjz88t8q,フルファイト！【煽り付き】エリートスピリッツミドル級GP準決勝Aブロック　オーロラデビルvsぱいそんはやし,high
elite-spirits-middleweight-gp-1gjvqnjwjo4,elite-spirits-middleweight-gp,elite_spirits,7,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_1gjvqnjwjo4,フルファイト！【煽り付き】エリートスピリッツミドル級GP準決勝Ｂブロック　エス・ガリオンvsジャニマード・トスパチ,high
emperor-109-ghpf2shuuo0,emperor-109,emperor,1,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_ghpf2shuuo0,フルファイト！ダイス・ヴォルケードvsレイ・ガシーオ エンペラーNo.109 ミドル級ワンマッチ,high
emperor-109-xdyu346kpua,emperor-109,emperor,2,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_xdyu346kpua,フルファイト！ダートソンvsさかえだ エンペラーNo.109 ミドル級ワンマッチ,high
emperor-109-zylg8y6wvq8,emperor-109,emperor,3,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_zylg8y6wvq8,フルファイト！ナパームvsアイス・トロン エンペラーNo.109 ライト級ワンマッチ,high
emperor-109-xi7nktkis9a,emperor-109,emperor,4,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_xi7nktkis9a,フルファイト！ポン・レイゼvsゆめろう エンペラーNo.109 ライト級ワンマッチ,high
