event_id,name,promotion_id,event_number,event_type,event_date,published_at,summary,inferred_from,inferred_confidence
elite-spirits-middleweight-gp,エリートスピリッツミドル級GP,elite_spirits,,tournament,,,エリートスピリッツミドル級GP。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-109,エンペラーNo.109,emperor,109,numbered_event,,,エンペラーNo.109。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-110,エンペラーNo.110,emperor,110,numbered_event,,,エンペラーNo.110。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-111,エンペラーNo.111,emperor,111,numbered_event,,,エンペラーNo.111。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-112,エンペラーNo.112,emperor,112,numbered_event,,,エンペラーNo.112。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-113,エンペラーNo.113,emperor,113,numbered_event,,,エンペラーNo.113。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-114,エンペラーNo.114,emperor,114,numbered_event,,,エンペラーNo.114。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-115,エンペラーNo.115,emperor,115,numbered_event,,,エンペラーNo.115。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-116,エンペラーNo.116,emperor,116,numbered_event,,,エンペラーNo.116。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-117,エンペラーNo.117,emperor,117,numbered_event,,,エンペラーNo.117。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-118,エンペラーNo.118,emperor,118,numbered_event,,,エンペラーNo.118。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-119,エンペラーNo.119,emperor,119,numbered_event,,,エンペラーNo.119。公式YouTube動画タイトルから抽出。,official_youtube_title,high
emperor-120,エンペラーNo.120,emperor,120,numbered_event,,,エンペラーNo.120。公式YouTube動画タイトルから抽出。,official_youtube_title,high
max-bout-5-middleweight-tournament,第5回MAXバウトミドル級トーナメント,max_bout,5,tournament,,,第5回MAXバウトミドル級トーナメント。公式YouTube動画タイトルから抽出。,official_youtube_title,high
max-bout-6-lightweight-tournament,第6回MAXバウトライト級トーナメント,max_bout,6,tournament,,,第6回MAXバウトライト級トーナメント。公式YouTube動画タイトルから抽出。,official_youtube_title,high
max-bout-7-lightweight-gp,第7回MAXバウトライト級GP,max_bout,7,tournament,,,第7回MAXバウトライト級GP。公式YouTube動画タイトルから抽出。,official_youtube_title,high
max-bout-7-lightweight-tournament,第7回MAXバウトライト級トーナメント,max_bout,7,tournament,,,第7回MAXバウトライト級トーナメント。公式YouTube動画タイトルから抽出。,official_youtube_title,high
max-bout-unknown-lightweight-tournament,第?回MAXバウトライト級トーナメント,max_bout,,special_event,,,第?回MAXバウトライト級トーナメント。公式YouTube動画タイトルから抽出。,official_youtube_title,medium
max-bout-unknown-middleweight-special,第?回MAXバウトミドル級スペシャルワンマッチ,max_bout,,special_event,,,第?回MAXバウトミドル級スペシャルワンマッチ。公式YouTube動画タイトルから抽出。,official_youtube_title,medium
max-bout-unknown-special-one-match,第?回MAXバウトスペシャルワンマッチ,max_bout,,special_event,,,第?回MAXバウトスペシャルワンマッチ。公式YouTube動画タイトルから抽出。,official_youtube_title,medium
mh-27,マウンテン・ヒーローズNo.27,mh,27,numbered_event,,,マウンテン・ヒーローズNo.27。公式YouTube動画タイトルから抽出。,official_youtube_title,high
mh-28,マウンテン・ヒーローズNo.28,mh,28,numbered_event,,,マウンテン・ヒーローズNo.28。公式YouTube動画タイトルから抽出。,official_youtube_title,high
mh-29,マウンテン・ヒーローズNo.29,mh,29,numbered_event,,,マウンテン・ヒーローズNo.29。公式YouTube動画タイトルから抽出。,official_youtube_title,high
mh-30,マウンテン・ヒーローズNo.30,mh,30,numbered_event,,,マウンテン・ヒーローズNo.30。公式YouTube動画タイトルから抽出。,official_youtube_title,high
mh-31,マウンテン・ヒーローズNo.31,mh,31,numbered_event,,,マウンテン・ヒーローズNo.31。公式YouTube動画タイトルから抽出。,official_youtube_title,high
mh-32,マウンテン・ヒーローズNo.32,mh,32,numbered_event,,,マウンテン・ヒーローズNo.32。公式YouTube動画タイトルから抽出。,official_youtube_title,high
mh-33,マウンテン・ヒーローズNo.33,mh,33,numbered_event,,,マウンテン・ヒーローズNo.33。公式YouTube動画タイトルから抽出。,official_youtube_title,high
