record_id,source_sheet,source_row,numbers_fighter_id,fighter_name,matched_fighter_id,candidate_fighter_id,division,promotion_raw,promotion_id,event_number_raw,event_number_normalized,bout_format,opponent_name,opponent_numbers_fighter_id,opponent_matched_fighter_id,opponent_candidate_fighter_id,result_mark,result,detail_raw
numbers_record_0001,個人成績,2,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,ミドル,MH,mh,25,25,ワンマッチ,レイダー・バチャコル,,,,⚪︎,win,"1R 2:55 TKO(左フック→ヒジ連打®️)
メジャーデビュー戦"
numbers_record_0002,個人成績,3,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MH,mh,26,26,ワンマッチ,トワックデビル,numbers_fighter_009,,トワックデビル,⚪︎,win,3R 判定3-0
numbers_record_0003,個人成績,4,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MH,mh,27,27,ワンマッチ,オーシューデーモン,numbers_fighter_017,fighter_452ac4db9c,fighter_452ac4db9c,⚪︎,win,"1R 2:55 アームロック
「👊🤛」をやり始める"
numbers_record_0004,個人成績,5,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MAXバウト,max_bout,第5回 1回戦B,第5回 1回戦B,トーナメント,テール・ジャンク,numbers_fighter_011,tail_junk,tail_junk,⚫︎,loss,"1R 0:38 KO(左フック→肘打ち→パウンド)
一回戦敗退"
numbers_record_0005,個人成績,6,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MH,mh,30.0,30,ワンマッチ,トルー・パルドレス,numbers_fighter_012,fighter_23a078dc11,fighter_23a078dc11,⚪︎,win,3R 判定2-1
numbers_record_0006,個人成績,7,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MH,mh,33.0,33,ワンマッチ,クロノ・マリーケン,numbers_fighter_013,fighter_d9983ebeb3,fighter_d9983ebeb3,⚪︎,win,2R 3:46 KO(左フック→右ジャブ→パウンド)
numbers_record_0007,個人成績,8,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MH,mh,35.0,35,ワンマッチ,あかそ,numbers_fighter_015,fighter_ffbd00f5ab,fighter_ffbd00f5ab,⚪︎,win,1R 4:19 KO(左フック)
numbers_record_0008,個人成績,9,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MAXバウト,max_bout,SP,SP,ワンマッチ,おとさわ,numbers_fighter_071,otosawa,otosawa,⚫︎,loss,3R 3:05 リアネイキッドチョーク
numbers_record_0009,個人成績,10,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MH,mh,37.0,37,ワンマッチ,ライン・デュオ,numbers_fighter_005,fighter_392d495da8,fighter_392d495da8,⚪︎,win,3R 5:00 ギロチンチョーク
numbers_record_0010,個人成績,11,numbers_fighter_001,らんちゃーすがや,rancher_sugaya,rancher_sugaya,,MH,mh,38.0,38,タイトル,ゼット,numbers_fighter_008,fighter_e15b590179,fighter_e15b590179,⚫︎,loss,"2R 1:53 KO(パンチ連打)
初代MHミドル級王者テール・ジャンクが返上
王座挑戦失敗
MH連勝記録は7でストップ"
numbers_record_0011,個人成績,12,numbers_fighter_002,ぱいそんはやし,python_hayashi,python_hayashi,ミドル,MH,mh,38.0,38,ワンマッチ,ローリングJr,numbers_fighter_003,,jr,⚪︎,win,"3R 判定3-0
メジャーデビュー戦"
numbers_record_0012,個人成績,13,numbers_fighter_002,ぱいそんはやし,python_hayashi,python_hayashi,,MH,mh,39.0,39,ワンマッチ,ジャニマード・トスパチ,numbers_fighter_006,fighter_41a3b1ba33,fighter_41a3b1ba33,⚫︎,loss,2R 1:05 KO(左フック→パウンド)
