source_id,source_type,source_ref_id,title,url,published_at,fetched_at,content_format,content_hash,content_text,content_preview,notes
note:note-emperor,note_article,note-emperor,エンペラー,https://note.com/xyz1090/n/n2beedca0a28d,,2026-05-28T12:51:47+00:00,plain_text,7243a982c878021b09fff220f318df9beaaacbcd615b0c66175df4a489051860,"エンペラー｜アラカク通信のーと
投稿
ログイン
会員登録
エンペラー
5
アラカク通信のーと
2025年4月29日 11:08
エンペラーとは外国の総合格闘技団体である。
メジャー3団体の一つ！
☆現在のルール
・リング
・1R5分3R制
・ラウンドマスト
・青いオープンフィンガーグローブ
・肘打ち有り
・4点ポジションでの頭部への蹴り、踏みつけ、サッカーボールキック無し
☆歴代王者
ライト級王者（70kg）
初代王者 アイス・トロン
２代目 むらき（ターゲットライト級王座統一）
３代目 アイス・トロン
４代目 ナパーム
５代目 アイス・トロン
６代目 エスティ・グリフォン
７代目 ブルーワン
８代目 アイス・トロン
９代目 コルト・アプロー
１０代目 マルコ・フレイザー
１１代目 ブルーワン
ミドル級王者（90kg）
初代王者 アンタレス
２代目 ユーナ・ガナ
３代目 ミサ・ウィル・ジョー
ヘビー級王者（90.1kg以上）
初代王者 バンホーン・ソルジャー
２代目 ユーナ・ガナ（2階級王者）
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#架空
#クロコップ
#アラカク
#荒木
#あらかく
5
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","エンペラー｜アラカク通信のーと
投稿
ログイン
会員登録
エンペラー
5
アラカク通信のーと
2025年4月29日 11:08
エンペラーとは外国の総合格闘技団体である。
メジャー3団体の一つ！
☆現在のルール
・リング
・1R5分3R制
・ラウンドマスト
・青いオープンフィンガーグローブ
・肘打ち有り
・4点ポジションでの頭部への蹴り、踏みつけ、サッカーボールキック無し
☆歴代王者
ライト級王者（70kg）
初代王者 アイス・トロン
２代目 むらき（ターゲットライト級王座統一）
３代目 アイス・トロン
４代目 ナパーム
５代目 アイス・トロン
６代目 エスティ・グリフォン
７代目 ブルーワン",Imported from cached note HTML.
note:note-max-bout,note_article,note-max-bout,MAXバウト,https://note.com/xyz1090/n/n4f9af5458b40,,2026-05-28T12:51:47+00:00,plain_text,4a9b75544709a86f86f095a481ea3af8d29bf2affd5beaad3f9f48e78d3ede10,"MAXバウト｜アラカク通信のーと
投稿
ログイン
会員登録
MAXバウト
6
アラカク通信のーと
2025年4月29日 11:40
MAXバウトとはメジャー３団体（ターゲット、エンペラー、マウンテン・ヒーローズ）の強者たちだけが戦える日本の総合格闘技団体。
（通称、白グローブ）
白グローブはごく稀にワンマッチ大会を行うこともあるが基本トーナメントのみ！
（＊MAXバウトにはNo.シリーズはなく不定期なため、団体とゆうよりMAXバウトとゆう大会）
☆ルール
・リング
・1R5分3R制
・ラウンドマスト
・白いオープンフィンガーグローブ
・肘打ち有り、4点ポジションヒザ蹴り有り
・踏みつけ、サッカーボールキック無し
【MAXバウトの歴代王者】
☆ライト級王者
第1回アイス・トロン（エンペラー）
第2回むらき（ターゲット）
第3回アイス・トロン（エンペラー）
第4回むらき（ターゲット）
第5回ランダーデビル（M・H）
第6回コルト・アプロー（エンペラー）
第７回ブルーワン（エンペラー）
☆ミドル級王者
第1回ユーナ・ガナ（エンペラー）
第2回テール・ジャンク（M・H）
第3回テール・ジャンク（M・H）
第4回ミサ・ウィル・ジョー（エンペラー）
第5回テール・ジャンク（M・H）
☆ヘビー級王者
第1回ユーナ・ガナ（エンペラー）
第2回ギタミン・アーロン（マイナー団体）
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#架空
#クロコップ
#アラカク
#荒木
#あらかく
6
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","MAXバウト｜アラカク通信のーと
投稿
ログイン
会員登録
MAXバウト
6
アラカク通信のーと
2025年4月29日 11:40
MAXバウトとはメジャー３団体（ターゲット、エンペラー、マウンテン・ヒーローズ）の強者たちだけが戦える日本の総合格闘技団体。
（通称、白グローブ）
白グローブはごく稀にワンマッチ大会を行うこともあるが基本トーナメントのみ！
（＊MAXバウトにはNo.シリーズはなく不定期なため、団体とゆうよりMAXバウトとゆう大会）
☆ルール
・リング
・1R5分3R制
・ラウンドマスト
・白いオープンフィンガーグローブ
・肘打ち有り、4点ポジションヒザ蹴り有り
・踏みつけ、サッカ",Imported from cached note HTML.
note:note-mh,note_article,note-mh,マウンテン・ヒーローズ（M・H）,https://note.com/xyz1090/n/n0f42ce1bf597,,2026-05-28T12:51:47+00:00,plain_text,39c6a6503b8cc380c116019e21c2b218376189f3d63f7674538761f4fe5d162f,"マウンテン・ヒーローズ（M・H）｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズ（M・H）
5
アラカク通信のーと
2025年4月29日 11:18
マウンテン・ヒーローズ（M・H）とは総合格闘技団体マウンテンとヒーローズが合併してできた外国の団体である。メジャー3団体の一つ。
M・Hと表記される。
☆現在のルール
・リング
・1R5分の3R制
・ラウンドマスト
・赤いオープンフィンガーグローブ
・肘打ち、4点ポジションでの頭部への膝蹴り有り
・踏みつけ、サッカーボールキック無し
☆歴代王者
ライト級王者（72kg）
初代王者 アサシン
２代目 ランダーデビル
３代目 サイク・アーマー
４代目 ランダーデビル
ミドル級王者（92kg）
初代 テール・ジャンク
☆トーナメント
第1回ライト級トーナメント優勝
【サイク・アーマー】
第1回ミドル級トーナメント優勝
【テール・ジャンク】
第2回ミドル級トーナメント優勝
【ギタミン・アーロン】
（第２回はテール・ジャンクへの挑戦者決定トーナメントのためテール・ジャンクは不参加）
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#架空
#クロコップ
#アラカク
#荒木
#あらかく
5
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","マウンテン・ヒーローズ（M・H）｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズ（M・H）
5
アラカク通信のーと
2025年4月29日 11:18
マウンテン・ヒーローズ（M・H）とは総合格闘技団体マウンテンとヒーローズが合併してできた外国の団体である。メジャー3団体の一つ。
M・Hと表記される。
☆現在のルール
・リング
・1R5分の3R制
・ラウンドマスト
・赤いオープンフィンガーグローブ
・肘打ち、4点ポジションでの頭部への膝蹴り有り
・踏みつけ、サッカーボールキック無し
☆歴代王者
ライト級王者（72kg）
初代王者 アサシン
２代目 ランダーデビル
３代目 サ",Imported from cached note HTML.
note:note-n001f39a5fefb,note_article,note-n001f39a5fefb,マウンテン・ヒーローズNo.33試合結果,https://note.com/xyz1090/n/n001f39a5fefb,,2026-05-28T12:51:47+00:00,plain_text,fa8659f308a6a04199f05e3a1acac1329b98c851c06db605a50380dae85b1117,"マウンテン・ヒーローズNo.33試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズNo.33試合結果
2
アラカク通信のーと
2024年5月26日 23:22
マウンテン・ヒーローズNo.33
☆ミドル級ワンマッチ
●クロノ・マリーケン【8勝8敗】
🆚
○らんちゃーすがや【5勝1敗】
（2R3分46秒KO 左フック→右ジャブ→パウンド）
☆ライト級ワンマッチ
○ローリングjr 【4勝2敗】
🆚
●ダブド・ガブリシャン【3勝1敗】
（1R1分31秒 ギロチンチョーク）
☆ライト級ワンマッチ
○キマイラ【6勝4敗】
🆚
●ムラト・クツワ【1勝2敗】
（1R2分23秒KO 左フック）
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#MMA
#架空
#クロコップ
#アラカク
#あらかく
2
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","マウンテン・ヒーローズNo.33試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズNo.33試合結果
2
アラカク通信のーと
2024年5月26日 23:22
マウンテン・ヒーローズNo.33
☆ミドル級ワンマッチ
●クロノ・マリーケン【8勝8敗】
🆚
○らんちゃーすがや【5勝1敗】
（2R3分46秒KO 左フック→右ジャブ→パウンド）
☆ライト級ワンマッチ
○ローリングjr 【4勝2敗】
🆚
●ダブド・ガブリシャン【3勝1敗】
（1R1分31秒 ギロチンチョーク）
☆ライト級ワンマッチ
○キマイラ【6勝4敗】
🆚
●ムラト・クツワ【1勝2敗】
（1R2分23秒KO",Imported from cached note HTML.
note:note-n046653bda67a,note_article,note-n046653bda67a,マウンテン・ヒーローズNo.32対戦カード,https://note.com/xyz1090/n/n046653bda67a,,2026-05-28T12:51:47+00:00,plain_text,5162f6bcd082cf3c6ede7aa9a62c5c35a67991dea5a040517e4e82fd9fe0fc40,"マウンテン・ヒーローズNo.32対戦カード｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズNo.32対戦カード
3
アラカク通信のーと
2024年4月23日 05:22
マウンテン・ヒーローズNo.32
☆ライト級ワンマッチ（ノンタイトル）
🟥ランダーデビル
35歳 174cm デビル軍
【25勝5敗】
🆚
🟦 アイス・トロン
46歳 173cm パーフェクトジム
【45勝13敗】
☆ライト級ワンマッチ
🟥さんごく
30歳 168cm チームジャパン
【6勝2敗】
🆚
🟦レオナルド・フォードバック
24歳 180cm ツインズ
【メジャーデビュー戦】
B1ライト級王者、バトルモードライト級王者
☆ライト級ワンマッチ
🟥 くわしお
30歳 172cm カイザーアスリート
【10勝6敗】
🆚
🟦バン・ベルソーザ
③28歳 175cm チームアキラ
【0勝1敗】
現ケンカファイトライト級王者
☆ライト級ワンマッチ
🟥イスカン・アステ
32歳 172cm RFチームクリスタル
【2勝1敗】
🆚
🟦ヨルセン・バクダリア
27歳170cm ユーリンジム
【1勝2敗】
☆ライト級ワンマッチ
🟥キマイラ
25歳 170cm チームボイス
【4勝4敗】
🆚
🟦バンドルフ・ガルブンタ
30歳 180cm ミッションズ
【4勝5敗】
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#MMA
#架空
#クロコップ
#アラカク
#あらかく
3
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","マウンテン・ヒーローズNo.32対戦カード｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズNo.32対戦カード
3
アラカク通信のーと
2024年4月23日 05:22
マウンテン・ヒーローズNo.32
☆ライト級ワンマッチ（ノンタイトル）
🟥ランダーデビル
35歳 174cm デビル軍
【25勝5敗】
🆚
🟦 アイス・トロン
46歳 173cm パーフェクトジム
【45勝13敗】
☆ライト級ワンマッチ
🟥さんごく
30歳 168cm チームジャパン
【6勝2敗】
🆚
🟦レオナルド・フォードバック
24歳 180cm ツインズ
【メジャーデビュー戦】
B1ライト級王者、バ",Imported from cached note HTML.
note:note-n05a3b7b38805,note_article,note-n05a3b7b38805,ターゲットNo.93試合結果,https://note.com/xyz1090/n/n05a3b7b38805,,2026-05-28T12:51:47+00:00,plain_text,849f7487511d5b8a50851d7346b131cc596908fe8044854a2b2dd39fd999a313,"ターゲットNo.93試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
ターゲットNo.93試合結果
1
アラカク通信のーと
2023年12月6日 07:17
ターゲットNo.93試合結果
☆ライト級タイトルマッチ
◯わく【8勝1敗】＊①
🆚
●きたむら【16勝5敗】
（1R1分51秒KO 膝蹴り→パウンド）
＊防衛数
☆ライト級ワンマッチ
●かぶと【11勝12敗】
🆚
○つくりはら【1勝0敗】
（1R1分３２秒 RNC）
☆ライト級ワンマッチ
●きょうない【1勝0敗】
🆚
○つおし【1勝0敗】
（3R終了判定2-1）
☆ライト級ワンマッチ
○フラーム・グラン【17勝10敗】
🆚
●スマット・ターウィ【0勝1敗】
（1R1分50秒KO 左アッパー）
☆ライト級ワンマッチ
○ワインセル【8勝7敗】
🆚
●イベルト・キューミ【2勝3敗】
（2R2分15秒KO 三日月蹴り→パウンド）
☆ミドル級ワンマッチ
○かべい【9勝4敗】
🆚
●かぜの【0勝1敗】
（1R1分28秒KO 左ストレート）
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#MMA
#架空
#クロコップ
#アラカク
#あらかく
1
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","ターゲットNo.93試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
ターゲットNo.93試合結果
1
アラカク通信のーと
2023年12月6日 07:17
ターゲットNo.93試合結果
☆ライト級タイトルマッチ
◯わく【8勝1敗】＊①
🆚
●きたむら【16勝5敗】
（1R1分51秒KO 膝蹴り→パウンド）
＊防衛数
☆ライト級ワンマッチ
●かぶと【11勝12敗】
🆚
○つくりはら【1勝0敗】
（1R1分３２秒 RNC）
☆ライト級ワンマッチ
●きょうない【1勝0敗】
🆚
○つおし【1勝0敗】
（3R終了判定2-1）
☆ライト級ワンマッチ
○フラーム・グラン【17勝10敗】
🆚
●スマッ",Imported from cached note HTML.
note:note-n140f32db6ddd,note_article,note-n140f32db6ddd,マウンテン・ヒーローズNo.30対戦カード,https://note.com/xyz1090/n/n140f32db6ddd,,2026-05-28T12:51:47+00:00,plain_text,d6c7409ee071c9e526b7c393cd74b8d00490ebe54d738511b7ae771b1f51ba0b,"マウンテン・ヒーローズNo.30対戦カード｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズNo.30対戦カード
2
アラカク通信のーと
2023年10月8日 10:01
マウンテン・ヒーローズNo.30対戦カード
☆ライト級タイトルマッチ
🟥👑 ランダーデビル
35歳 174cm デビル軍
【24勝5敗】
🆚
🟦 さんごく
30歳 168cm チームジャパン
【6勝1敗】
☆ライト級ワンマッチ
🟥バンドルフ・ガルブンタ
30歳 180cm ミッションズ
【4勝4敗】
🆚
🟦ローリングjr
27歳 186cm チームハーツ
【1勝2敗】
☆ライト級ワンマッチ
🟥ムラト・クツワ
30歳 176cm KBMトップチーム
【1勝0敗】
🆚
🟦ダブド・ガブリシャン
26歳 175cm ブラックタワー
【1勝0敗】
☆ライト級ワンマッチ
🟥キマイラ
25歳 170cm チームボイス
【4勝3敗】
🆚
🟦イスカン・アステ
32歳 172cm RFチームクリスタル
【1勝0敗】
☆ミドル級ワンマッチ
🟥トルー・パルドレス
26歳 190cm マジシャンズ
【4勝3敗】
🆚
🟦らんちゃーすがや
28歳 185cm コミックファイト倶楽部
【3勝1敗】
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#MMA
#架空
#クロコップ
#アラカク
2
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","マウンテン・ヒーローズNo.30対戦カード｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズNo.30対戦カード
2
アラカク通信のーと
2023年10月8日 10:01
マウンテン・ヒーローズNo.30対戦カード
☆ライト級タイトルマッチ
🟥👑 ランダーデビル
35歳 174cm デビル軍
【24勝5敗】
🆚
🟦 さんごく
30歳 168cm チームジャパン
【6勝1敗】
☆ライト級ワンマッチ
🟥バンドルフ・ガルブンタ
30歳 180cm ミッションズ
【4勝4敗】
🆚
🟦ローリングjr
27歳 186cm チームハーツ
【1勝2敗】
☆ライト級ワンマッチ
🟥ムラト・クツ",Imported from cached note HTML.
note:note-n15885dea4393,note_article,note-n15885dea4393,ターゲットNo.101試合結果,https://note.com/xyz1090/n/n15885dea4393,,2026-05-28T12:51:47+00:00,plain_text,7feccb42b3ea0b6eeec1ea85f4d156e89d8411b1f75927f4c22e486fc3dde78d,"ターゲットNo.101試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
ターゲットNo.101試合結果
1
アラカク通信のーと
2025年10月5日 04:16
ターゲットNo.101
☆ターゲットミドル級タイトルマッチ
○ギタミン・アーロン【14勝4敗】
🆚
●おとさわ【23勝16敗】
（1R3分35秒KO 左アッパー→パウンド）
ギタミン・アーロン防衛［1］
☆ミドル級ワンマッチ
○かべい【13勝5敗】
🆚
●ラミーロ・コート【0勝1敗】
（2R3分29秒KO 飛び込みパンチ→パウンド）
☆ミドル級ワンマッチ
●ザモン【1勝2敗】
🆚
○オーロラデビル【1勝0敗】
（1R2分40秒 三角絞め）
☆ライト級ワンマッチ
○かぶと【11勝13敗】
🆚
●イベルト・キューミ【3勝4敗】
（3R2分11秒KO パウンド）
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#架空
#クロコップ
#アラカク
#荒木
#あらかく
1
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","ターゲットNo.101試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
ターゲットNo.101試合結果
1
アラカク通信のーと
2025年10月5日 04:16
ターゲットNo.101
☆ターゲットミドル級タイトルマッチ
○ギタミン・アーロン【14勝4敗】
🆚
●おとさわ【23勝16敗】
（1R3分35秒KO 左アッパー→パウンド）
ギタミン・アーロン防衛［1］
☆ミドル級ワンマッチ
○かべい【13勝5敗】
🆚
●ラミーロ・コート【0勝1敗】
（2R3分29秒KO 飛び込みパンチ→パウンド）
☆ミドル級ワンマッチ
●ザモン【1勝2敗】
🆚
○オーロラデビル【1勝0敗】
（1R2分40秒 ",Imported from cached note HTML.
note:note-n168697057b95,note_article,note-n168697057b95,MAXバウトスペシャルワンマッチ大会試合結果,https://note.com/xyz1090/n/n168697057b95,,2026-05-28T12:51:47+00:00,plain_text,ba8ed4ac6f49204f1ef83e30722744784a8a56e4ba20477a525ed4e335ef7f75,"MAXバウトスペシャルワンマッチ大会試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
MAXバウトスペシャルワンマッチ大会試合結果
4
アラカク通信のーと
2025年3月8日 02:33
MAXバウトスペシャルワンマッチ大会試合結果
☆ヘビー級ワンマッチ（98kg契約）
●テール・ジャンク【27勝3敗】
🆚
◯タイプ・ジー【1勝0敗】
（3R終了 判定3-0）
☆ミドル級ワンマッチ
◯ミサ・ウィル・ジョー【13勝2敗】
🆚
🟦 ①ルージュド・スターリー【11勝3敗】
（3R終了 判定3-0）
☆ミドル級ワンマッチ
◯かべい【12勝4敗】
🆚
●さかえだ【20勝9敗】
（1R2分52秒 ＫＯ 左フック→パウンド）
☆ミドル級ワンマッチ
◯おとさわ【23勝15敗】
🆚
●らんちゃーすがや【6勝2敗】
（3R3分05秒 RNC）
☆ミドル級ワンマッチ
◯ダイス・ヴォルケード【6勝3敗】
🆚
●ライン・デュオ【1勝2敗】
（1R1分13秒ＫＯ 左ストレート）
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#架空
#クロコップ
#アラカク
#荒木
#あらかく
4
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","MAXバウトスペシャルワンマッチ大会試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
MAXバウトスペシャルワンマッチ大会試合結果
4
アラカク通信のーと
2025年3月8日 02:33
MAXバウトスペシャルワンマッチ大会試合結果
☆ヘビー級ワンマッチ（98kg契約）
●テール・ジャンク【27勝3敗】
🆚
◯タイプ・ジー【1勝0敗】
（3R終了 判定3-0）
☆ミドル級ワンマッチ
◯ミサ・ウィル・ジョー【13勝2敗】
🆚
🟦 ①ルージュド・スターリー【11勝3敗】
（3R終了 判定3-0）
☆ミドル級ワンマッチ
◯かべい【12勝4敗】
🆚
●さかえだ【20勝9敗】
（1R2分52秒 Ｋ",Imported from cached note HTML.
note:note-n16df678bd0b6,note_article,note-n16df678bd0b6,マウンテン・ヒーローズNo.34 試合結果,https://note.com/xyz1090/n/n16df678bd0b6,,2026-05-28T12:51:47+00:00,plain_text,5bf337c30fd262c1d777321b5ca1b65939b31808ee3366f6959ba586eae41c19,"マウンテン・ヒーローズNo.34 試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズNo.34 試合結果
2
アラカク通信のーと
2024年7月30日 05:50
マウンテン・ヒーローズNo.34 試合結果
☆ヘビー級ワンマッチ
○テール・ジャンク【27勝2敗】
🆚
●クーラー・ジョイントン【0勝1敗】
（1R3分25秒KO 左アッパー→パウンド）
☆ミドル級ワンマッチ
●ゼット【11勝6敗】
🆚
○ライン・デュオ【1勝1敗】
（3R終了 判定2-1）
☆ライト級ワンマッチ
○イスカン・アステ【4勝1敗】
🆚
●ジョン・バレー【2勝5敗】
（1R0分13秒KO 左ストレート）
☆ライト級ワンマッチ
●キマイラ【6勝5敗】
🆚
○ダブド・ガブリシャン【4勝1敗】
（1R2分16秒 ダースチョーク）
ダウンロード
copy
いいなと思ったら応援しよう！
チップで応援する
#格闘技
#MMA
#架空
#クロコップ
#アラカク
#あらかく
2
アラカク通信のーと
フォロー
ケイダッシュステージ所属クロコップ荒木好之
アラカク通信
トップ
スポーツ
武術・格闘技
noteプレミアム
note pro
ヘルプ
プライバシー
クリエイターへのお問い合わせ
フィードバック
ご利用規約
通常ポイント利用特約
加盟店規約
資金決済法に基づく表示
特商法表記
投資情報の免責事項","マウンテン・ヒーローズNo.34 試合結果｜アラカク通信のーと
投稿
ログイン
会員登録
マウンテン・ヒーローズNo.34 試合結果
2
アラカク通信のーと
2024年7月30日 05:50
マウンテン・ヒーローズNo.34 試合結果
☆ヘビー級ワンマッチ
○テール・ジャンク【27勝2敗】
🆚
●クーラー・ジョイントン【0勝1敗】
（1R3分25秒KO 左アッパー→パウンド）
☆ミドル級ワンマッチ
●ゼット【11勝6敗】
🆚
○ライン・デュオ【1勝1敗】
（3R終了 判定2-1）
☆ライト級ワンマッチ
○イスカン・アステ【4勝1敗】
🆚
●ジョン・バレー【2勝5敗】
（1R0分13秒KO 左ス",Imported from cached note HTML.
