mention_id,source_id,source_type,source_ref_id,line_number,mention_type,entity_type,entity_hint,matched_text,context,confidence,notes
note:note-emperor-line-00021,note:note-emperor,note_article,note-emperor,21,result,bout,,２代目 むらき（ターゲットライト級王座統一）,２代目 むらき（ターゲットライト級王座統一）,medium,Auto-extracted from source document text.
note:note-max-bout-line-00001,note:note-max-bout,note_article,note-max-bout,1,event,event,MAXバウト,MAXバウト｜アラカク通信のーと,MAXバウト｜アラカク通信のーと,medium,Auto-extracted from source document text.
note:note-max-bout-line-00005,note:note-max-bout,note_article,note-max-bout,5,event,event,MAXバウト,MAXバウト,MAXバウト,medium,Auto-extracted from source document text.
note:note-max-bout-line-00009,note:note-max-bout,note_article,note-max-bout,9,event,event,MAXバウト,MAXバウトとはメジャー３団体（ターゲット、エンペラー、マウンテン・ヒーローズ）の強者たちだけが戦える日本の総合格闘技団体。,MAXバウトとはメジャー３団体（ターゲット、エンペラー、マウンテン・ヒーローズ）の強者たちだけが戦える日本の総合格闘技団体。,medium,Auto-extracted from source document text.
note:note-max-bout-line-00012,note:note-max-bout,note_article,note-max-bout,12,event,event,MAXバウト,（＊MAXバウトにはNo.シリーズはなく不定期なため、団体とゆうよりMAXバウトとゆう大会）,（＊MAXバウトにはNo.シリーズはなく不定期なため、団体とゆうよりMAXバウトとゆう大会）,medium,Auto-extracted from source document text.
note:note-max-bout-line-00020,note:note-max-bout,note_article,note-max-bout,20,event,event,MAXバウト,【MAXバウトの歴代王者】,【MAXバウトの歴代王者】,medium,Auto-extracted from source document text.
note:note-n001f39a5fefb-line-00001,note:note-n001f39a5fefb,note_article,note-n001f39a5fefb,1,event,event,マウンテン・ヒーローズNo.33,マウンテン・ヒーローズNo.33試合結果｜アラカク通信のーと,マウンテン・ヒーローズNo.33試合結果｜アラカク通信のーと,medium,Auto-extracted from source document text.
note:note-n001f39a5fefb-line-00005,note:note-n001f39a5fefb,note_article,note-n001f39a5fefb,5,event,event,マウンテン・ヒーローズNo.33,マウンテン・ヒーローズNo.33試合結果,マウンテン・ヒーローズNo.33試合結果,medium,Auto-extracted from source document text.
note:note-n001f39a5fefb-line-00009,note:note-n001f39a5fefb,note_article,note-n001f39a5fefb,9,event,event,マウンテン・ヒーローズNo.33,マウンテン・ヒーローズNo.33,マウンテン・ヒーローズNo.33,medium,Auto-extracted from source document text.
note:note-n001f39a5fefb-line-00014,note:note-n001f39a5fefb,note_article,note-n001f39a5fefb,14,result,bout,,（2R3分46秒KO 左フック→右ジャブ→パウンド）,（2R3分46秒KO 左フック→右ジャブ→パウンド）,medium,Auto-extracted from source document text.
note:note-n001f39a5fefb-line-00024,note:note-n001f39a5fefb,note_article,note-n001f39a5fefb,24,result,bout,,（1R2分23秒KO 左フック）,（1R2分23秒KO 左フック）,medium,Auto-extracted from source document text.
note:note-n046653bda67a-line-00001,note:note-n046653bda67a,note_article,note-n046653bda67a,1,matchup,bout,マウンテン・ヒーローズNo.32,マウンテン・ヒーローズNo.32対戦カード｜アラカク通信のーと,マウンテン・ヒーローズNo.32対戦カード｜アラカク通信のーと,medium,Auto-extracted from source document text.
note:note-n046653bda67a-line-00005,note:note-n046653bda67a,note_article,note-n046653bda67a,5,matchup,bout,マウンテン・ヒーローズNo.32,マウンテン・ヒーローズNo.32対戦カード,マウンテン・ヒーローズNo.32対戦カード,medium,Auto-extracted from source document text.
