video_id,entity_type,entity_id,relation_type,start_time,end_time,notes
youtube_vdb8qzkxcy,bout,target-103-02,full_fight,,,公式YouTube個別Full Fight。
youtube_a2gy9ardmwu,bout,target-103-03,full_fight,,,公式YouTube個別Full Fight。
youtube_1meeptyfns,bout,target-103-04,full_fight,,,公式YouTube個別Full Fight。
youtube_0vt0j0l9jja,bout,target-103-05,full_fight,,,公式YouTube個別Full Fight。
youtube_p5x_vjofkfi,bout,mh-39-p5x_vjofkfi,stream_archive,,,公式YouTube動画タイトルから推定。
youtube_qh7lihmzubc,bout,max-bout-7-lightweight-gp-qh7lihmzubc,reference,,,公式YouTube動画タイトルから推定。
youtube_krrg8fyx6gq,bout,max-bout-7-lightweight-gp-krrg8fyx6gq,reference,,,公式YouTube動画タイトルから推定。
youtube_siu9zufuwuq,bout,max-bout-7-lightweight-gp-siu9zufuwuq,reference,,,公式YouTube動画タイトルから推定。
youtube_ose37zk9f4i,bout,max-bout-7-lightweight-gp-ose37zk9f4i,reference,,,公式YouTube動画タイトルから推定。
youtube_ge7twvxd9yu,bout,max-bout-7-lightweight-gp-ge7twvxd9yu,reference,,,公式YouTube動画タイトルから推定。
youtube_2cpxeyxdlp8,bout,max-bout-7-lightweight-gp-2cpxeyxdlp8,reference,,,公式YouTube動画タイトルから推定。
youtube_3iszag1c2f0,bout,max-bout-7-lightweight-gp-3iszag1c2f0,reference,,,公式YouTube動画タイトルから推定。
youtube_uqc4ki4qmai,bout,max-bout-7-lightweight-gp-uqc4ki4qmai,reference,,,公式YouTube動画タイトルから推定。
youtube_4tzgvgx7cg8,bout,max-bout-unknown-special-one-match-4tzgvgx7cg8,reference,,,公式YouTube動画タイトルから推定。
youtube_lzu1p7ujdos,bout,max-bout-unknown-special-one-match-lzu1p7ujdos,reference,,,公式YouTube動画タイトルから推定。
youtube_cgzqssiwtgw,bout,max-bout-unknown-special-one-match-cgzqssiwtgw,reference,,,公式YouTube動画タイトルから推定。
youtube_7jwrin5qehm,bout,max-bout-unknown-special-one-match-7jwrin5qehm,reference,,,公式YouTube動画タイトルから推定。
youtube_vbacvhixam4,bout,max-bout-unknown-special-one-match-vbacvhixam4,reference,,,公式YouTube動画タイトルから推定。
youtube_eddeflnklfy,bout,max-bout-7-lightweight-gp-eddeflnklfy,reference,,,公式YouTube動画タイトルから推定。
youtube_zoa9z26fng0,bout,max-bout-7-lightweight-gp-zoa9z26fng0,reference,,,公式YouTube動画タイトルから推定。
youtube_pujzpgtph2w,bout,max-bout-7-lightweight-gp-pujzpgtph2w,reference,,,公式YouTube動画タイトルから推定。
youtube_yliawvelzbm,bout,max-bout-7-lightweight-gp-yliawvelzbm,reference,,,公式YouTube動画タイトルから推定。
youtube_574ikyazfj4,bout,max-bout-unknown-lightweight-tournament-574ikyazfj4,reference,,,公式YouTube動画タイトルから推定。
youtube_f1u0bfqhu9o,bout,max-bout-unknown-lightweight-tournament-f1u0bfqhu9o,reference,,,公式YouTube動画タイトルから推定。
youtube_ooihz_c01e0,bout,max-bout-unknown-lightweight-tournament-ooihz_c01e0,reference,,,公式YouTube動画タイトルから推定。
youtube_n9hp48kuqp4,bout,mh-37-n9hp48kuqp4,reference,,,公式YouTube動画タイトルから推定。
youtube_bacmlios1i8,bout,max-bout-unknown-lightweight-tournament-bacmlios1i8,reference,,,公式YouTube動画タイトルから推定。
youtube_qtswvquloji,bout,max-bout-unknown-lightweight-tournament-qtswvquloji,reference,,,公式YouTube動画タイトルから推定。
youtube_d6tuqnfvmhy,bout,target-14-d6tuqnfvmhy,reference,,,公式YouTube動画タイトルから推定。
youtube_4rgh2fs6rp8,bout,target-100-4rgh2fs6rp8,preview,,,公式YouTube動画タイトルから推定。
youtube_1ptbs6ropuq,bout,target-100-1ptbs6ropuq,preview,,,公式YouTube動画タイトルから推定。
youtube_bniqjtmfayw,bout,target-98-bniqjtmfayw,preview,,,公式YouTube動画タイトルから推定。
youtube_54kwdqyjoa8,bout,video-catalog-54kwdqyjoa8-54kwdqyjoa8,preview,,,公式YouTube動画タイトルから推定。
youtube_f93bk3gibcq,bout,video-catalog-f93bk3gibcq-f93bk3gibcq,preview,,,公式YouTube動画タイトルから推定。
youtube_2mm9_kcrsfu,bout,target-90-2mm9_kcrsfu,preview,,,公式YouTube動画タイトルから推定。
youtube_qfiwnhcogvu,bout,mh-29-qfiwnhcogvu,preview,,,公式YouTube動画タイトルから推定。
youtube_jby8vkzyuys,bout,target-96-jby8vkzyuys,preview,,,公式YouTube動画タイトルから推定。
youtube_foh5vctjij4,bout,target-87-foh5vctjij4,preview,,,公式YouTube動画タイトルから推定。
youtube_bvtj1lsfwz4,bout,emperor-118-bvtj1lsfwz4,preview,,,公式YouTube動画タイトルから推定。
youtube_ifu9zhhjmzi,bout,max-bout-6-lightweight-tournament-ifu9zhhjmzi,interview,,,公式YouTube動画タイトルから推定。
youtube_a8qhaua4i1g,bout,max-bout-6-lightweight-tournament-a8qhaua4i1g,interview,,,公式YouTube動画タイトルから推定。
youtube_s99fvrs7evw,bout,max-bout-6-lightweight-tournament-s99fvrs7evw,interview,,,公式YouTube動画タイトルから推定。
youtube_pcudq7vtm_g,bout,max-bout-6-lightweight-tournament-pcudq7vtm_g,interview,,,公式YouTube動画タイトルから推定。
youtube_bompcnznx34,bout,max-bout-unknown-middleweight-special-bompcnznx34,full_fight,,,公式YouTube動画タイトルから推定。
youtube_tuog5suk_fo,bout,max-bout-unknown-middleweight-special-tuog5suk_fo,full_fight,,,公式YouTube動画タイトルから推定。
youtube_4cbcymly7ma,bout,max-bout-unknown-middleweight-special-4cbcymly7ma,full_fight,,,公式YouTube動画タイトルから推定。
youtube_siibzv70fww,bout,max-bout-unknown-middleweight-special-siibzv70fww,full_fight,,,公式YouTube動画タイトルから推定。
youtube_opylhps0jq0,bout,max-bout-unknown-middleweight-special-opylhps0jq0,full_fight,,,公式YouTube動画タイトルから推定。
youtube_lp2btuxgjiy,bout,emperor-110-lp2btuxgjiy,full_fight,,,公式YouTube動画タイトルから推定。
youtube_nm0ig9mdpi,bout,mh-38-nm0ig9mdpi,full_fight,,,公式YouTube動画タイトルから推定。
youtube_vplbxarc3pc,bout,target-101-vplbxarc3pc,full_fight,,,公式YouTube動画タイトルから推定。
youtube_ggjctmt9cfi,bout,mh-40-ggjctmt9cfi,full_fight,,,公式YouTube動画タイトルから推定。
