video_id,platform,platform_video_id,url,title,original_title,channel_name,published_at,official_status,video_type,link_status,duplicate_group_id,duplicate_note,notes,source_article_ids
youtube_qecknlomyoy,youtube,QEcKNlomyoY,https://www.youtube.com/watch?v=QEcKNlomyoY,アラカク試合配信23　アラカクを世に放て,アラカク試合配信23　アラカクを世に放て,アラカク通信,,official,stream_archive,partially_linked,,,ターゲットNo.103カードを含む可能性。わく vs つくりはらの個別Full Fightは未確認。,"note-target-103-card,note-target-103-result"
youtube_p5x_vjofkfi,youtube,p5X_VjOfKFI,https://www.youtube.com/watch?v=p5X_VjOfKFI,【ぱいそんはやしvsジャニマード・トスパチ】ライブパブリックビューイングver．マウンテン・ヒーローズNo.39ミドル級ワンマッチ,【ぱいそんはやしvsジャニマード・トスパチ】ライブパブリックビューイングver．マウンテン・ヒーローズNo.39ミドル級ワンマッチ,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=15:33,
youtube_ueabukuhj3w,youtube,uEABuKUhj3w,https://www.youtube.com/watch?v=uEABuKUhj3w,超アラカクライブ配信販売開始！！マウンテン・ヒーローズNo.40対戦カード！アラカク通信ピンチ！？【#5あらかくNEWS】,超アラカクライブ配信販売開始！！マウンテン・ヒーローズNo.40対戦カード！アラカク通信ピンチ！？【#5あらかくNEWS】,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=11:52,
youtube_e0upezomadq,youtube,E0upEZOmadQ,https://www.youtube.com/watch?v=E0upEZOmadQ,超アラカクライブのPPV試合決定！？エンペラーが変わる！！【あらかくNEWS】,超アラカクライブのPPV試合決定！？エンペラーが変わる！！【あらかくNEWS】,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=14:05,
youtube_ohqngvcrhtc,youtube,ohqNgVCrhtc,https://www.youtube.com/watch?v=ohqNgVCrhtc,アラカクライブNo.17【2026開幕戦】やります！,アラカクライブNo.17【2026開幕戦】やります！,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=1:30,
youtube_ieyi3n8wwqs,youtube,IeYi3n8WWQs,https://www.youtube.com/watch?v=IeYi3n8WWQs,7月25日（木）20時30分からアラカク試合観戦配信9 （＊概要欄チェック！！）【M・H No.34&ターゲットNo.98の見どころ動画】,7月25日（木）20時30分からアラカク試合観戦配信9 （＊概要欄チェック！！）【M・H No.34&ターゲットNo.98の見どころ動画】,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=19:39,
youtube_jkv1qeefahe,youtube,jkv1qEEfaHE,https://www.youtube.com/watch?v=jkv1qEEfaHE,6月27日（木）20時から試合観戦配信！概要欄見て！！【ターゲットNo.97 エンペラーNo.117の見どころ動画】,6月27日（木）20時から試合観戦配信！概要欄見て！！【ターゲットNo.97 エンペラーNo.117の見どころ動画】,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=20:02,
youtube_bv7s9abfq2i,youtube,bv7S9ABfQ2I,https://www.youtube.com/watch?v=bv7S9ABfQ2I,5月22日に試合観戦配信！5月25日にアラカクライブ！！【試合見どころ動画※概要欄絶対見た方がいい】,5月22日に試合観戦配信！5月25日にアラカクライブ！！【試合見どころ動画※概要欄絶対見た方がいい】,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=21:35,
youtube_yk6ixho8gdm,youtube,Yk6iXhO8GdM,https://www.youtube.com/watch?v=Yk6iXhO8GdM,2月29日21時から試合観戦配信！！！マウンテン・ヒーローズNo.31見どころ&告知【概要欄見て】,2月29日21時から試合観戦配信！！！マウンテン・ヒーローズNo.31見どころ&告知【概要欄見て】,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=14:48,
youtube_jzq4plvaipq,youtube,jzQ4plVAIpQ,https://www.youtube.com/watch?v=jzQ4plVAIpQ,2025年5月22日21時ごろ試合観戦配信【マウンテン・ヒーローズNo.36対戦カード】,2025年5月22日21時ごろ試合観戦配信【マウンテン・ヒーローズNo.36対戦カード】,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=8:10,
youtube_ww0wyhqq9_u,youtube,ww0WYHqQ9_U,https://www.youtube.com/watch?v=ww0WYHqQ9_U,2025.7.24 21時からエンペラーNo.118試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,2025.7.24 21時からエンペラーNo.118試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=13:24,
youtube_pqgj9gaeo6g,youtube,pqGJ9GaEo6g,https://www.youtube.com/watch?v=pqGJ9GaEo6g,2025.6.26 20時からターゲットNo.100試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,2025.6.26 20時からターゲットNo.100試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=15:04,
youtube_sx7tf60v6xu,youtube,sX7tF60V6XU,https://www.youtube.com/watch?v=sX7tF60V6XU,2025.6.16 21時から試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,2025.6.16 21時から試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=13:01,
youtube_hkdl5wkk1_a,youtube,HkdL5wKk1_A,https://www.youtube.com/watch?v=HkdL5wKk1_A,11月28日（木）20時からこのチャンネルでアラカク試合観戦配信11の予定です！！【マウンテン・ヒーローズNo.35&ターゲットNo.99見どころ動画】,11月28日（木）20時からこのチャンネルでアラカク試合観戦配信11の予定です！！【マウンテン・ヒーローズNo.35&ターゲットNo.99見どころ動画】,NA,,official,stream_archive,unlinked,,,yt-dlp channel export. duration=14:51,
youtube_s3nteou2hx8,youtube,s3nteOu2hx8,https://www.youtube.com/watch?v=s3nteOu2hx8,２０２４アラカクベストバウトランキング！！,２０２４アラカクベストバウトランキング！！,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=16:51,
youtube_qh7lihmzubc,youtube,qH7lIhmzUbc,https://www.youtube.com/watch?v=qH7lIhmzUbc,第7回MAXバウトライト級GP［Bブロック第四試合］さんごくvsダブド・ガブリシャンの見どころ動画【概要欄絶対に見て】,第7回MAXバウトライト級GP［Bブロック第四試合］さんごくvsダブド・ガブリシャンの見どころ動画【概要欄絶対に見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=6:39,
youtube_krrg8fyx6gq,youtube,krrG8FYX6gQ,https://www.youtube.com/watch?v=krrG8FYX6gQ,第7回MAXバウトライト級GP［Bブロック第三試合］わくvsローリングジュニアの見どころ動画【概要欄絶対に見て】,第7回MAXバウトライト級GP［Bブロック第三試合］わくvsローリングジュニアの見どころ動画【概要欄絶対に見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=6:15,
youtube_siu9zufuwuq,youtube,sIU9ZufuwuQ,https://www.youtube.com/watch?v=sIU9ZufuwuQ,第7回MAXバウトライト級GP［Bブロック第一試合］イスカン・アステvsきたむらの見どころ動画【概要欄絶対に見て】,第7回MAXバウトライト級GP［Bブロック第一試合］イスカン・アステvsきたむらの見どころ動画【概要欄絶対に見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=6:23,
youtube_ose37zk9f4i,youtube,oSe37zK9f4I,https://www.youtube.com/watch?v=oSe37zK9f4I,第7回MAXバウトライト級GP［Bブロック第ニ試合］マルコ・フレイザーvsワインセルの見どころ動画【概要欄絶対に見て】,第7回MAXバウトライト級GP［Bブロック第ニ試合］マルコ・フレイザーvsワインセルの見どころ動画【概要欄絶対に見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=5:07,
youtube_89izoyicptw,youtube,89IzOYIcptw,https://www.youtube.com/watch?v=89IzOYIcptw,第7回MAXバウトライト級GP 出場者１６名発表！,第7回MAXバウトライト級GP 出場者１６名発表！,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=4:43,
youtube_poxcdgnhpgk,youtube,pOxcDgnhPgk,https://www.youtube.com/watch?v=pOxcDgnhPgk,第5回MAXバウトミドル級トーナメント出場者（詳しい選手情報は動画概要欄で）,第5回MAXバウトミドル級トーナメント出場者（詳しい選手情報は動画概要欄で）,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=5:00,
youtube_prn6degpxui,youtube,prn6DEGPxUI,https://www.youtube.com/watch?v=prn6DEGPxUI,第5回MAXバウトミドル級トーナメント二回戦について【いよいよ】,第5回MAXバウトミドル級トーナメント二回戦について【いよいよ】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=2:26,
youtube_d7no_mmi6aq,youtube,d7No-MMI6aQ,https://www.youtube.com/watch?v=d7No-MMI6aQ,感謝！！【感想やお知らせとかも】,感謝！！【感想やお知らせとかも】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=9:17,
youtube_rp8bayj7s6k,youtube,Rp8BaYj7S6k,https://www.youtube.com/watch?v=Rp8BaYj7S6k,感謝と告知！！！,感謝と告知！！！,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:44,
youtube_sbc41eyw5q8,youtube,sBc41eyw5Q8,https://www.youtube.com/watch?v=sBc41eyw5Q8,感謝,感謝,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=14:48,
