bout_id,event_id,promotion_id,bout_order,division,weight_class_id,bout_type,fighter_a_id,fighter_a,fighter_a_corner,fighter_b_id,fighter_b,fighter_b_corner,winner_id,winner,loser_id,loser,round,time,method_raw,method_normalized,technique,decision_score,is_title_bout,title_id,title_result,title_note,source_article_id,notes,result_status,inferred_from_video_id,inferred_from_video_title,inferred_confidence
mh-39-p5x_vjofkfi,mh-39,mh,2,ミドル級,middleweight,video_catalog_bout,python_hayashi,ぱいそんはやし,,janimad_tospach_live_public_viewing_ver,Janimad Tospach Live Public Viewing ver.,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_p5x_vjofkfi,【ぱいそんはやしvsジャニマード・トスパチ】ライブパブリックビューイングver．マウンテン・ヒーローズNo.39ミドル級ワンマッチ,high
max-bout-7-lightweight-gp-qh7lihmzubc,max-bout-7-lightweight-gp,max_bout,15,ライト級,lightweight,tournament_bout,sangoku,さんごく,,fighter_25fddbaacc,ダブド・ガブリシャン,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_qh7lihmzubc,第7回MAXバウトライト級GP［Bブロック第四試合］さんごくvsダブド・ガブリシャンの見どころ動画【概要欄絶対に見て】,high
max-bout-7-lightweight-gp-krrg8fyx6gq,max-bout-7-lightweight-gp,max_bout,14,ライト級,lightweight,tournament_bout,waku,わく,,rolling_jr,ローリングジュニア,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_krrg8fyx6gq,第7回MAXバウトライト級GP［Bブロック第三試合］わくvsローリングジュニアの見どころ動画【概要欄絶対に見て】,high
max-bout-7-lightweight-gp-siu9zufuwuq,max-bout-7-lightweight-gp,max_bout,13,ライト級,lightweight,tournament_bout,fighter_82d519db98,イスカン・アステ,,kitamura,きたむら,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_siu9zufuwuq,第7回MAXバウトライト級GP［Bブロック第一試合］イスカン・アステvsきたむらの見どころ動画【概要欄絶対に見て】,high
max-bout-7-lightweight-gp-ose37zk9f4i,max-bout-7-lightweight-gp,max_bout,12,ライト級,lightweight,tournament_bout,marco_fraser,マルコ・フレイザー,,fighter_cdb8d47163,ワインセル,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_ose37zk9f4i,第7回MAXバウトライト級GP［Bブロック第ニ試合］マルコ・フレイザーvsワインセルの見どころ動画【概要欄絶対に見て】,high
max-bout-7-lightweight-gp-ge7twvxd9yu,max-bout-7-lightweight-gp,max_bout,8,ライト級,lightweight,tournament_bout,fighter_25fddbaacc,ダブド・ガブリシャン,,rolling_jr,ローリングジュニア,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_ge7twvxd9yu,【見どころ動画】第7回MAXバウトライト級GP二回戦［Bブロック第二試合］ダブド・ガブリシャンvsローリングジュニア【概要欄見て】,high
max-bout-7-lightweight-gp-2cpxeyxdlp8,max-bout-7-lightweight-gp,max_bout,7,ライト級,lightweight,tournament_bout,colt_apro,コルト・アプロー,,blue_one,ブルーワン,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_2cpxeyxdlp8,【見どころ動画】第7回MAXバウトライト級GP二回戦［Bブロック第一試合］コルト・アプローvsブルーワン【概要欄見て】,high
max-bout-7-lightweight-gp-3iszag1c2f0,max-bout-7-lightweight-gp,max_bout,6,ライト級,lightweight,tournament_bout,fighter_82d519db98,イスカン・アステ,,marco_fraser,マルコ・フレイザー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_3iszag1c2f0,【見どころ動画】第7回MAXバウトライト級GP二回戦［Aブロック第二試合］イスカン・アステvsマルコ・フレイザー【概要欄見て】,high
max-bout-7-lightweight-gp-uqc4ki4qmai,max-bout-7-lightweight-gp,max_bout,5,ライト級,lightweight,tournament_bout,tsukurihara,つくりはら,,lander_devil,ランダーデビル,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_uqc4ki4qmai,【見どころ動画】第7回MAXバウトライト級GP二回戦［Aブロック第一試合］つくりはらvsランダーデビル【概要欄見て】,high
max-bout-unknown-special-one-match-4tzgvgx7cg8,max-bout-unknown-special-one-match,max_bout,5,,,special_one_match,misa_will_joe,ミサ・ウィル・ジョー,,rouged_starry,ルージュド・スターリー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_4tzgvgx7cg8,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！ミサ・ウィル・ジョーvsルージュド・スターリー,medium
