candidate_id,bout_id,event_id,event_name,matchup,fighter_a,fighter_b,source_id,source_type,source_ref_id,source_title,source_url,match_reason,line_numbers,mention_types,matched_texts,confidence,notes
bout-source-0001,target-103-01,target-103,ターゲットNo.103,わく vs つくりはら,わく,つくりはら,note:note-target-103-card,note_article,note-target-103-card,ターゲットNo.103対戦カード,https://note.com/xyz1090/n/n9782736d400d,fighter_pair,1 | 5 | 9 | 10,matchup:3 | result:1,ターゲットNo.103対戦カード｜アラカク通信のーと | ターゲットNo.103対戦カード | ☆ライト級タイトルマッチ,medium,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0002,target-103-01,target-103,ターゲットNo.103,わく vs つくりはら,わく,つくりはら,note:note-target-103-result,note_article,note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,fighter_pair,1 | 5 | 9 | 10 | 14 | 15 | 25 | 30 | 35,event:3 | result:6,ターゲットNo.103試合結果｜アラカク通信のーと | ターゲットNo.103試合結果 | ☆ライト級タイトルマッチ | （2R2分16秒KO カウンターフック） | わくがタイトル防衛成功（防衛3度目）,medium,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0003,target-103-02,target-103,ターゲットNo.103,おとさわ vs オーロラデビル,おとさわ,オーロラデビル,note:note-target-103-card,note_article,note-target-103-card,ターゲットNo.103対戦カード,https://note.com/xyz1090/n/n9782736d400d,fighter_pair,1 | 5 | 9 | 10,matchup:3 | result:1,ターゲットNo.103対戦カード｜アラカク通信のーと | ターゲットNo.103対戦カード | ☆ライト級タイトルマッチ,medium,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0004,target-103-02,target-103,ターゲットNo.103,おとさわ vs オーロラデビル,おとさわ,オーロラデビル,note:note-target-103-result,note_article,note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,fighter_pair,1 | 5 | 9 | 10 | 14 | 15 | 25 | 30 | 35,event:3 | result:6,ターゲットNo.103試合結果｜アラカク通信のーと | ターゲットNo.103試合結果 | ☆ライト級タイトルマッチ | （2R2分16秒KO カウンターフック） | わくがタイトル防衛成功（防衛3度目）,medium,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0005,target-103-02,target-103,ターゲットNo.103,おとさわ vs オーロラデビル,おとさわ,オーロラデビル,youtube_description:youtube_vdb8qzkxcy,youtube_description,youtube_vdb8qzkxcy,【おとさわvsオーロラデビル】フルファイト！ターゲットNo.103ミドル級ワンマッチ,https://www.youtube.com/watch?v=_vdB8QZkXCY,linked_video_description,1 | 12 | 13 | 17 | 18 | 19,event:4 | youtube_url:2,ターゲットNo.103 | ①バキ童チャンネル https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0 | ② ニューヨークOfficial Channel https://youtu.be/4cccIjMPRHU?si=AiaANVELch62r9-v | アラカクライブNo.13 https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A | アラカクライブNo.14 https://yout...,high,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0006,target-103-03,target-103,ターゲットNo.103,きんとき vs ザモン,きんとき,ザモン,note:note-target-103-result,note_article,note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,fighter_pair,1 | 5 | 9 | 10 | 14 | 15 | 25 | 30 | 35,event:3 | result:6,ターゲットNo.103試合結果｜アラカク通信のーと | ターゲットNo.103試合結果 | ☆ライト級タイトルマッチ | （2R2分16秒KO カウンターフック） | わくがタイトル防衛成功（防衛3度目）,medium,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0007,target-103-03,target-103,ターゲットNo.103,きんとき vs ザモン,きんとき,ザモン,youtube_description:youtube_a2gy9ardmwu,youtube_description,youtube_a2gy9ardmwu,【きんときvsザモン】フルファイト！ターゲットNo.103ミドル級ワンマッチ,https://www.youtube.com/watch?v=A2GY9ardMwU,linked_video_description,1 | 11 | 13 | 17 | 18 | 19 | 20 | 21 | 22,event:4 | youtube_url:5,ターゲットNo.103 | https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0 | https://youtu.be/4cccIjMPRHU?si=AiaANVELch62r9-v | アラカクライブNo.13 | https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A,high,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0008,target-103-04,target-103,ターゲットNo.103,かべい vs フランク・ダクタ,かべい,フランク・ダクタ,note:note-target-103-result,note_article,note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,existing_source_article,1 | 5 | 9 | 10 | 14 | 15 | 25 | 30 | 35,event:3 | result:6,ターゲットNo.103試合結果｜アラカク通信のーと | ターゲットNo.103試合結果 | ☆ライト級タイトルマッチ | （2R2分16秒KO カウンターフック） | わくがタイトル防衛成功（防衛3度目）,medium,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0009,target-103-04,target-103,ターゲットNo.103,かべい vs フランク・ダクタ,かべい,フランク・ダクタ,youtube_description:youtube_1meeptyfns,youtube_description,youtube_1meeptyfns,【かべいvsフランク・ダクタ】フルファイト！ターゲットNo.103ミドル級ワンマッチ,https://www.youtube.com/watch?v=_1mEEptyfns,linked_video_description,1 | 12 | 14 | 18 | 19 | 20 | 21 | 22 | 23,event:4 | youtube_url:5,ターゲットNo.103 | https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0 | https://youtu.be/4cccIjMPRHU?si=AiaANVELch62r9-v | アラカクライブNo.13 | https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A,high,Review-only source reference candidate for bout; not confirmed result data.
bout-source-0010,target-103-05,target-103,ターゲットNo.103,アリベル・アリベラ vs わしかが,アリベル・アリベラ,わしかが,note:note-target-103-result,note_article,note-target-103-result,ターゲットNo.103試合結果,https://note.com/xyz1090/n/n8b5fb1f69636,existing_source_article,1 | 5 | 9 | 10 | 14 | 15 | 25 | 30 | 35,event:3 | result:6,ターゲットNo.103試合結果｜アラカク通信のーと | ターゲットNo.103試合結果 | ☆ライト級タイトルマッチ | （2R2分16秒KO カウンターフック） | わくがタイトル防衛成功（防衛3度目）,medium,Review-only source reference candidate for bout; not confirmed result data.
