candidate_id,video_id,video_title,source_id,source_type,source_ref_id,source_title,source_url,mention_types,matched_texts,content_preview,confidence,notes
video-source-0001,youtube_qecknlomyoy,アラカク試合配信23　アラカクを世に放て,youtube_description:youtube_qecknlomyoy,youtube_description,youtube_qecknlomyoy,アラカク試合配信23　アラカクを世に放て,https://www.youtube.com/watch?v=QEcKNlomyoY,event:4 | matchup:1 | result:1 | youtube_url:5,キャパ500でアラカクライブに挑戦します❗️ | ［ターゲットNo.103対戦カード］ | ☆ライト級タイトルマッチ | https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0 | https://youtu.be/4cccIjMPRHU?si=AiaANVELch62r9-v,アラカクの質問などこちらへ⬇️ arakakutsushin@gmail.com 件名にアラカクネーム（ラジオネーム的なの）を記入してください。無しでもいいですが！！ ＊ネタのない時になるのでいつ読まれかわかりません。 今年は挑戦の年🔥 キャパ500でアラカクライブに挑戦します❗️ よろしくお願いします‼️ 【告知】 『超アラカク』 【日程】2026年4月22日（水） 【会場】中野ZERO小ホール 【開場】19時00分 【開演】19時30分 【料金】前売り予約3000円／当日...,high,YouTube description source document is available for this video.
video-source-0002,youtube_p5x_vjofkfi,【ぱいそんはやしvsジャニマード・トスパチ】ライブパブリックビューイングver．マウンテン・ヒーローズNo.39ミドル級ワンマッチ,youtube_description:youtube_p5x_vjofkfi,youtube_description,youtube_p5x_vjofkfi,【ぱいそんはやしvsジャニマード・トスパチ】ライブパブリックビューイングver．マウンテン・ヒーローズNo.39ミドル級ワンマッチ,https://www.youtube.com/watch?v=p5X_VjOfKFI,event:1,マウンテン・ヒーローズNo.39,マウンテン・ヒーローズNo.39 ☆ミドル級ワンマッチ 🟥ぱいそんはやし 26歳 188cm コミックファイト倶楽部 【1勝0敗】 🆚 🟦ジャニマード・トスパチ 28歳 190cm チームボークン 【メジャーデビュー戦】 #アラカク #あらかく #格闘技 #架空 #クロコップ #mma,high,YouTube description source document is available for this video.
video-source-0003,youtube_ueabukuhj3w,超アラカクライブ配信販売開始！！マウンテン・ヒーローズNo.40対戦カード！アラカク通信ピンチ！？【#5あらかくNEWS】,youtube_description:youtube_ueabukuhj3w,youtube_description,youtube_ueabukuhj3w,超アラカクライブ配信販売開始！！マウンテン・ヒーローズNo.40対戦カード！アラカク通信ピンチ！？【#5あらかくNEWS】,https://www.youtube.com/watch?v=uEABuKUhj3w,event:7,『超アラカクライブ』配信販売スタートしました！！ | マウンテン・ヒーローズNo.40 | アラカクライブNo.13 | ￼ • まによんpresents アラカクライブNo... | アラカクライブNo.14,"『超アラカクライブ』配信販売スタートしました！！ 『超アラカク』アーカイブ配信 💻🎫⬇️ tiget.net/events/485433 チケット1,500円(+手数料) ※販売＆視聴期間は販売ページでご確認下さい。 販売期間 4/26(日)21:00~5/31(日)21:00 視聴期間 4/26(日)21:00~5/31(日)23:59 【インタビュー】 架空の格闘技 「アラカク」に熱狂する ”アラカクファミリー”にお話を聞いてきました！ debayashi.life/co...",high,YouTube description source document is available for this video.
video-source-0004,youtube_e0upezomadq,超アラカクライブのPPV試合決定！？エンペラーが変わる！！【あらかくNEWS】,youtube_description:youtube_e0upezomadq,youtube_description,youtube_e0upezomadq,超アラカクライブのPPV試合決定！？エンペラーが変わる！！【あらかくNEWS】,https://www.youtube.com/watch?v=E0upEZOmadQ,event:4 | youtube_url:5,キャパ500でアラカクライブに挑戦します❗️ | https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0 | https://youtu.be/4cccIjMPRHU?si=AiaANVELch62r9-v | アラカクライブNo.13 | https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A,今年は挑戦の年🔥 キャパ500でアラカクライブに挑戦します❗️ よろしくお願いします‼️ 【告知】 『超アラカク』 【日程】2026年4月22日（水） 【会場】中野ZERO小ホール 【開場】19時00分 【開演】19時30分 【料金】前売り予約3000円／当日3500円 【アラカク知らないゲスト】 トム・ブラウン 布川 ヤーレンズ 楢原 【アラカク知ってるゲスト】 モグライダー 芝 ヤーレンズ 出井 や団 本間キッド ファイヤーサンダー 崎山 三福エンターテイメント 🎫⬇️...,high,YouTube description source document is available for this video.
video-source-0005,youtube_ohqngvcrhtc,アラカクライブNo.17【2026開幕戦】やります！,youtube_description:youtube_ohqngvcrhtc,youtube_description,youtube_ohqngvcrhtc,アラカクライブNo.17【2026開幕戦】やります！,https://www.youtube.com/watch?v=ohqNgVCrhtc,event:4 | youtube_url:5,『アラカクライブNo.17 | https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0 | https://youtu.be/4cccIjMPRHU?si=AiaANVELch62r9-v | アラカクライブNo.13 | https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A,【告知‼️】 まによんpresents 『アラカクライブNo.17 2026開幕戦』 【日程】2026年2月28日（土） 【会場】新宿バティオス 【開場】18時45分 【開演】19時00分 【料金】前売り予約2000円／当日2500円 【アラカク知らないゲスト】 大将（ベルナルド）／大誠（センチネル）他 🎫イベント情報、予約購入はこちら https://tiget.net/events/459164 【アラカク知らない人へ】 アラカクなに？って方へ！おすすめです！ ①バキ童チ...,high,YouTube description source document is available for this video.
video-source-0006,youtube_ieyi3n8wwqs,7月25日（木）20時30分からアラカク試合観戦配信9 （＊概要欄チェック！！）【M・H No.34&ターゲットNo.98の見どころ動画】,youtube_description:youtube_ieyi3n8wwqs,youtube_description,youtube_ieyi3n8wwqs,7月25日（木）20時30分からアラカク試合観戦配信9 （＊概要欄チェック！！）【M・H No.34&ターゲットNo.98の見どころ動画】,https://www.youtube.com/watch?v=IeYi3n8WWQs,event:2 | matchup:2,『アラカクライブNo.13【第７回MAXバウトライト級GP抽選会】』 | 🚨7月25日（木）アラカク試合観戦配信9の対戦カード&選手情報です❗️ | ⭐️マウンテン・ヒーローズNo.34 | ⭐️ターゲットNo.98対戦カード,【告知】 まによんpresents 『アラカクライブNo.13【第７回MAXバウトライト級GP抽選会】』 【日程】2024年7月27日（土） 【会場】新宿バティオス 【開場】18時45分 【開演】19時00分 【料金】前売り予約1500円／当日2000円 【出演】アラカクファミリー （アラカク知らないゲスト） 金の国 桃沢 （アラカク知ってるゲスト） ヤーレンズ出井 三福エンターテイメント ファイヤーサンダー崎山 ご予約⬇️ 【TIGET】 https://tiget.net...,high,YouTube description source document is available for this video.
video-source-0007,youtube_jkv1qeefahe,6月27日（木）20時から試合観戦配信！概要欄見て！！【ターゲットNo.97 エンペラーNo.117の見どころ動画】,youtube_description:youtube_jkv1qeefahe,youtube_description,youtube_jkv1qeefahe,6月27日（木）20時から試合観戦配信！概要欄見て！！【ターゲットNo.97 エンペラーNo.117の見どころ動画】,https://www.youtube.com/watch?v=jkv1qEEfaHE,event:1 | matchup:4,『アラカクライブNo.13【第７回MAXバウトライト級GP抽選会】』 | 🚨6月27日（木）アラカク試合観戦配信8の対戦カード&選手情報です❗️（全試合配信するかはわかりません）⬇️ | ○ターゲットNo.97対戦カード | vs | ○エンペラーNo.117対戦カード,【告知】 まによんpresents 『アラカクライブNo.13【第７回MAXバウトライト級GP抽選会】』 【日程】2024年7月27日（土） 【会場】新宿バティオス 【開場】18時45分 【開演】19時00分 【料金】前売り予約1500円／当日2000円 【出演】アラカクファミリー 他 ご予約⬇️ 【TIGET】 https://tiget.net/events/326423 🚨6月27日（木）アラカク試合観戦配信8の対戦カード&選手情報です❗️（全試合配信するかはわかりませ...,high,YouTube description source document is available for this video.
video-source-0008,youtube_bv7s9abfq2i,5月22日に試合観戦配信！5月25日にアラカクライブ！！【試合見どころ動画※概要欄絶対見た方がいい】,youtube_description:youtube_bv7s9abfq2i,youtube_description,youtube_bv7s9abfq2i,5月22日に試合観戦配信！5月25日にアラカクライブ！！【試合見どころ動画※概要欄絶対見た方がいい】,https://www.youtube.com/watch?v=bv7S9ABfQ2I,event:5 | result:1,2024年5月25日（土）にアラカクライブ！ | それがアラカクライブの良さ！ | ♣️ターゲットNo.96 | ☆ミドル級王座決定戦 | ♠️マウンテン・ヒーローズNo.33,2024年5月22日（水）20時からこのチャンネルでアラカク試合観戦配信🥊 2024年5月25日（土）にアラカクライブ！ 試合をみんなで一緒に見よう🔥 それがアラカクライブの良さ！ あとは勇気だけ💪 『アラカク【Born】』 【日程】2024年5月25日（土） 【会場】新宿バティオス 【開場】18時45分 【開演】19時00分 【料金】前売り予約1500円／当日2000円 ↓ご予約はこちら https://t.co/81dNVAPDO5 ♣️ターゲットNo.96 ☆ミドル級王...,high,YouTube description source document is available for this video.
video-source-0009,youtube_yk6ixho8gdm,2月29日21時から試合観戦配信！！！マウンテン・ヒーローズNo.31見どころ&告知【概要欄見て】,youtube_description:youtube_yk6ixho8gdm,youtube_description,youtube_yk6ixho8gdm,2月29日21時から試合観戦配信！！！マウンテン・ヒーローズNo.31見どころ&告知【概要欄見て】,https://www.youtube.com/watch?v=Yk6iXhO8GdM,event:1 | matchup:1,・アラカクライブやります‼️ | ・マウンテン・ヒーローズNo.31対戦カード,"・アラカクライブやります‼️ 【まによんpresents アラカクNo.11 開幕戦】 3/29(金) 開場18:45 開演19:00 新宿ハイジアV1 前売¥1,500／当日¥2,000 予約⬇️ https://t.co/CsUWjjbXX3 ・マウンテン・ヒーローズNo.31対戦カード （2月29日21時からこのチャンネルで試合配信） ☆ライト級ワンマッチ 🟥かわかみ32歳 178cm 日本柔術協会【0勝2敗】 🆚 🟦ヨルセン・バクダリア27歳170cm ユーリンジム【...",high,YouTube description source document is available for this video.
video-source-0010,youtube_jzq4plvaipq,2025年5月22日21時ごろ試合観戦配信【マウンテン・ヒーローズNo.36対戦カード】,youtube_description:youtube_jzq4plvaipq,youtube_description,youtube_jzq4plvaipq,2025年5月22日21時ごろ試合観戦配信【マウンテン・ヒーローズNo.36対戦カード】,https://www.youtube.com/watch?v=jzQ4plVAIpQ,event:1 | youtube_url:1,マウンテン・ヒーローズNo.36 | https://youtu.be/VDwwo72yU9s?si=wrEm6XmeB41fDra-,マウンテン・ヒーローズNo.36 ☆ミドル級ワンマッチ 🟥ゼット34歳 188cm RFチームクリスタル【11勝6敗】 🆚 🟦ヘル・ラッサー 33歳 191cm ツインズ 【0勝2敗】 ☆ミドル級ワンマッチ 🟥トルー・パルドレス 27歳 190cm マジシャンズ 【4勝4敗】 🆚 🟦 オーシューワイルド 26歳 184cm チームオーシュー 【メジャーデビュー戦】 ☆ミドル級ワンマッチ 🟥シェーン・ロブソン 28歳 201cm パンチャースポーツ 【メジャーデビュー戦】 🆚...,high,YouTube description source document is available for this video.
video-source-0011,youtube_ww0wyhqq9_u,2025.7.24 21時からエンペラーNo.118試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,youtube_description:youtube_ww0wyhqq9_u,youtube_description,youtube_ww0wyhqq9_u,2025.7.24 21時からエンペラーNo.118試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,https://www.youtube.com/watch?v=ww0WYHqQ9_U,event:3 | matchup:1 | youtube_url:4,🟣エンペラーNo.118 対戦カード！ | https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0 | アラカクライブNo.13 | https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A | アラカクライブNo.14,🟣エンペラーNo.118 対戦カード！ ☆ミドル級ワンマッチ 🟥さかえだ35歳 180cm 日本MMAチーム【20勝9敗】 🆚 🟦ガネルソン・シャル・ワー 27歳 186cm ソニックスポーツ【メジャーデビュー戦】 バイオショットミドル級王者 ☆ミドル級ワンマッチ 🟥ルージュド・スターリー 36歳190cm ゴッサブトップチーム 【11勝3敗】 元ターゲットミドル級王者 🆚 🟦アマルド・ビュエーラ 33歳 190cm チームゴッサブ 【0勝1敗】 ファントムミドル級王者 ☆ミ...,high,YouTube description source document is available for this video.
video-source-0012,youtube_pqgj9gaeo6g,2025.6.26 20時からターゲットNo.100試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,youtube_description:youtube_pqgj9gaeo6g,youtube_description,youtube_pqgj9gaeo6g,2025.6.26 20時からターゲットNo.100試合観戦配信！【対戦カードの見どころなどを語る！】＊概要欄もチェック！,https://www.youtube.com/watch?v=pqGJ9GaEo6g,event:1 | matchup:1 | result:2 | youtube_url:1,https://youtu.be/VDwwo72yU9s?si=hSRA7vhhvjfCINj5 | 【ターゲットNo.100対戦カード】 | ☆ターゲットミドル級タイトルマッチ | MAXバウトヘビー級王者 | ☆ターゲットライト級タイトルマッチ,6月26日20時からこのチャンネルで試合観戦配信🔥 ⚠️アラカクを詳しく知りたい方はバキ童チャンネルで詳しく話してます！ ⬇️ https://youtu.be/VDwwo72yU9s?si=hSRA7vhhvjfCINj5 【ターゲットNo.100対戦カード】 ☆ターゲットミドル級タイトルマッチ 🟥かべい29歳 188cm チームジャパン 【12勝4敗】 現ターゲットミドル級王者 🆚 🟦ギタミン・アーロン 36歳 185cm VKデリンジャー 【12勝4敗】 MAXバウトヘ...,high,YouTube description source document is available for this video.
