video_id,url,title,line_number,line_type,line_text
-1QlPvbzpX4,https://www.youtube.com/watch?v=-1QlPvbzpX4,アラカクライブ熱すぎるぜ！！,7,note_url,https://note.com/xyz1090
-7rixgVx9nA,https://www.youtube.com/watch?v=-7rixgVx9nA,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　さかえだvsミハエル・ボタルニカ,1,event,🥊第5回MAXバウトミドル級ＧＰ
-7rixgVx9nA,https://www.youtube.com/watch?v=-7rixgVx9nA,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　さかえだvsミハエル・ボタルニカ,8,event,⑥【16勝7敗】⑦エンペラー⑧4回目
-7rixgVx9nA,https://www.youtube.com/watch?v=-7rixgVx9nA,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　さかえだvsミハエル・ボタルニカ,15,event,⑥【4勝2敗】⑦ターゲット⑧1回目
-7rixgVx9nA,https://www.youtube.com/watch?v=-7rixgVx9nA,Full Fight！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　さかえだvsミハエル・ボタルニカ,23,result_or_title,⑨タイトル⑩戦いたい相手
-S8_61fZRU0,https://www.youtube.com/watch?v=-S8_61fZRU0,Full Fight！ダイス・ヴォルケードvsダートソン エンペラーNo.114 ミドル級ワンマッチ,1,event,エンペラーNo.114
-f_LGAzQr_k,https://www.youtube.com/watch?v=-f_LGAzQr_k,Full Fight！クレイエル・アビソカvsさくらい　エンペラーNo.113 ライト級ワンマッチ,1,event,エンペラーNo.113
-nM0IG9MDPI,https://www.youtube.com/watch?v=-nM0IG9MDPI,【ゼットvsらんちゃーすがや】マウンテン・ヒーローズNo.38ミドル級王座決定戦（クロコップ荒木の実況付きFull Fight！！）,1,event,マウンテン・ヒーローズNo.38
-nM0IG9MDPI,https://www.youtube.com/watch?v=-nM0IG9MDPI,【ゼットvsらんちゃーすがや】マウンテン・ヒーローズNo.38ミドル級王座決定戦（クロコップ荒木の実況付きFull Fight！！）,3,result_or_title,☆M・Hミドル級タイトルマッチ
-xXhhyFB8KQ,https://www.youtube.com/watch?v=-xXhhyFB8KQ,Full Fight！第６回 MAXバウトライト級トーナメント準決勝第ニ試合　わくvsコルト・アプロー,1,event,Full Fight！第６回 MAXバウトライト級トーナメント準決勝第ニ試合
-xXhhyFB8KQ,https://www.youtube.com/watch?v=-xXhhyFB8KQ,Full Fight！第６回 MAXバウトライト級トーナメント準決勝第ニ試合　わくvsコルト・アプロー,7,result_or_title,⑨タイトル
-xXhhyFB8KQ,https://www.youtube.com/watch?v=-xXhhyFB8KQ,Full Fight！第６回 MAXバウトライト級トーナメント準決勝第ニ試合　わくvsコルト・アプロー,12,event,⑥【6勝0敗】⑦ターゲット　⑧1回目
-xXhhyFB8KQ,https://www.youtube.com/watch?v=-xXhhyFB8KQ,Full Fight！第６回 MAXバウトライト級トーナメント準決勝第ニ試合　わくvsコルト・アプロー,17,event,⑥【16勝10敗】⑦エンペラー ⑧4回目
-xXhhyFB8KQ,https://www.youtube.com/watch?v=-xXhhyFB8KQ,Full Fight！第６回 MAXバウトライト級トーナメント準決勝第ニ試合　わくvsコルト・アプロー,18,event,⑨元エンペラーライト級王者
